Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A media analytics firm runs a deep-research agent that answers competitive-intelligence questions. Long investigations now fail: the single agent's context fills with raw search results and it loses track of the original question. Marco, the lead engineer, wants to restructure the system. Which architecture best addresses the problem?",multiple-choice,Move the whole investigation to the largest available context window and keep the single-agent design unchanged,"Tempting because a bigger window delays the failure, but it does not remove it: raw search results still accumulate and dilute the model's attention on the original question. It treats context exhaustion as a capacity problem when it is a structure problem.","A supervisor agent that decomposes the question and delegates searches to subagents, each returning a distilled summary from its own context","Correct. A manager/supervisor hierarchy isolates noisy intermediate work inside subagents: each subagent burns its own context on raw results and returns only distilled findings, so the supervisor's context stays focused on the question and the synthesis.",Two identical peer agents that both run the full investigation so their answers can be compared for agreement at the end,"Redundant peer agents help with answer verification, not context exhaustion — both peers still fill their own windows with raw results and hit the same failure. It duplicates cost while leaving the diagnosed problem untouched.",A workflow with a hard cap of five search calls per investigation so the context can never fill up during a run,"Capping searches keeps context small by doing less research, which sacrifices answer quality on exactly the deep investigations the product exists for. It constrains the symptom instead of restructuring where intermediate output lives.",,,,,2,"Subagents isolate noisy intermediate context from the orchestrator. Manager/supervisor hierarchies give each subtask its own context window and pass only distilled results upward, keeping the supervisor focused on decomposition and synthesis.",Agents and Workflows
A healthcare software vendor is choosing between self-hosting its Claude claims-processing agent on its own infrastructure and using an Anthropic-hosted managed agent deployment. The architecture review board asks the team to state the real tradeoffs before deciding. Which two statements correctly characterize the decision? (Choose two.),multi-select,"Self-hosting gives the team full control over the runtime environment, networking, and where the agent's execution infrastructure lives","Correct. The defining benefit of self-hosting is control: the team owns the runtime, network boundaries, and infrastructure placement of the agent's execution environment, which matters for organizations with strict environment requirements.","A managed Anthropic-hosted deployment offloads operating the agent's runtime and execution environment to the platform, reducing infrastructure work","Correct. The defining benefit of a managed deployment is offloading operations: Anthropic runs the agent's execution environment, so the team trades some control for far less infrastructure to build, patch, and scale.","Anthropic-hosted deployment is required for the agent to use tools, since tool execution only works on Anthropic's servers","Tempting if you conflate hosting with capability, but tool execution works in self-hosted harnesses too — the harness runs the tools wherever it is deployed. Hosting location changes who operates the runtime, not whether tools function.",Self-hosting removes the need for API authentication because the model runs entirely inside the company's own network,Self-hosting the agent harness does not move the model itself into the company network; the harness still calls the Claude API and must authenticate. It confuses hosting the agent runtime with hosting the model weights.,,,,,"1,2","Self-hosted deployments trade operational burden for control while managed deployments trade control for offloaded operations. The hosting decision changes who runs the agent's execution environment, not what the agent can do.",Agents and Workflows
"An insurance company's AI guild is standardizing on an agentic abstraction framework for multi-step claim workflows. Candidates include Strands, LangGraph, and PydanticAI. Before choosing, the guild lead asks the team to state which considerations are actually true of such frameworks. Which two statements are accurate? (Choose two.)",multi-select,"LangGraph expresses agent workflows as explicit graphs of nodes and edges, which suits teams that want visible, structured control flow over multi-step tasks","Correct. LangGraph's core abstraction is the graph: nodes for steps and edges for transitions, giving explicit, inspectable control flow — a natural fit when a team wants workflow structure to be first-class and visible.","PydanticAI centers on typed, schema-validated inputs and outputs, which suits teams that want structured data contracts enforced around model calls","Correct. PydanticAI builds agent interactions around Pydantic models, so inputs and outputs are typed and validated at the framework boundary — a natural fit when structured data contracts matter most.","Adopting any of these frameworks makes agent behavior deterministic, since the framework controls the model's sampling","Tempting because frameworks add structure, but the model underneath still samples nondeterministically; a framework organizes calls and state, it does not make generation deterministic. Structure around the model is not determinism inside it.","These frameworks replace the need for tool definitions, because the framework infers what external actions the agent can take","No framework infers an agent's capabilities from thin air — developers still define tools, their schemas, and their descriptions. Frameworks reduce orchestration boilerplate, not the design work of specifying what the agent can do.",,,,,"1,2","Frameworks organize orchestration but don't change the model's nature. Strands, LangGraph, and PydanticAI differ in core abstraction — graphs, typed contracts, agent loops — and the right choice matches how the team wants to express control flow.",Agents and Workflows
A retail bank's product owner gives the engineering team a requirements list for a Claude-powered dispute-resolution assistant. The team must separate functional requirements from infrastructure requirements to divide design work between the application squad and the platform squad. Which item on the list is an infrastructure requirement?,multiple-choice,The assistant must summarize a customer's recent transactions when asked about a disputed charge,"This describes what the system does for the user — summarizing transactions is behavior, which makes it a functional requirement owned by the application squad. It's tempting to call it infrastructure because it touches transaction systems, but the integration serves a functional behavior.",The system must sustain 500 concurrent sessions with 99.9% availability during business hours,"Correct. Concurrency and availability targets describe the qualities the underlying platform must provide rather than any user-facing behavior — the classic definition of an infrastructure (non-functional) requirement, driving capacity, scaling, and redundancy decisions.",The assistant must escalate to a human agent when the customer requests it,"Escalation to a human is a behavior the assistant performs in response to a condition — functional. It's tempting to file it under operations because humans are involved, but the requirement specifies what the system does, not what the platform provides.",The assistant must respond in the customer's chosen language among the bank's five supported languages,"Language support defines the content of the system's responses — a functional capability. It feels infrastructural because it may affect model or configuration choices, but the requirement itself describes user-facing behavior, not platform qualities.",,,,,2,"Functional requirements describe what the system does; infrastructure requirements describe what the platform must provide. Separating them assigns design ownership correctly and ensures qualities like concurrency and availability get engineered, not assumed.",Applications and Integration
"A legal-research startup sends the same 30,000-token system prompt — firm guidelines plus a reference corpus — with every one of thousands of daily Messages API requests; only the short user question changes. Finance flags input-token spend as the top cost line. Without changing the prompt's content, what is the most direct optimization?",multiple-choice,Use prompt caching with a cache breakpoint after the static prefix so repeated requests reuse the cached prompt at reduced cost,"Correct. Prompt caching is built for exactly this shape: a large, stable prefix reused across many requests. Marking the static portion cacheable lets subsequent requests read it from cache at a fraction of the input-token cost, with no change to prompt content.","Compress the reference corpus by asking Claude to summarize it once, then send the summary instead of the corpus","Tempting as a token-reduction play, but summarizing changes the prompt's content — the question explicitly rules that out — and risks losing the reference detail legal answers depend on. It trades answer fidelity for savings that caching achieves without any loss.","Move all daily traffic to the Message Batches API, since batch pricing applies to input tokens","Batch processing does reduce cost, but it is an asynchronous pattern with an extended processing window — unsuitable for interactive research queries users are waiting on. It grabs a discount by breaking the product's realtime requirement.","Split the system prompt across several smaller sequential requests so no single call carries the full 30,000 tokens","Splitting the prompt across requests doesn't reduce tokens — every request still needs the full context to answer, so you either resend it (same cost) or lose it (broken answers). It misunderstands that context must be present in the request that uses it.",,,,,1,"Cache the stable prefix and pay full price only for what changes. Prompt caching is the API mechanic for large prompts reused across requests — cost drops without touching content, and latency often improves as well.",Applications and Integration
"Wei, a Python developer at a market-research firm, wrote a script that summarizes 2,000 survey responses by calling the Messages API in a simple for-loop, one request at a time. Each call takes about four seconds, so the job takes over two hours, though the API is far from its rate limits. What change most directly fixes the throughput problem?",multiple-choice,"Issue the requests concurrently with async I/O (for example asyncio with bounded concurrency), so many calls are in flight while each awaits its response","Correct. The job is I/O-bound: almost all elapsed time is spent waiting on network responses, so overlapping requests with async concurrency (bounded to respect rate limits) collapses two hours into minutes. Concurrency is the standard remedy for serialized network waits.",Raise max_tokens on each request so every summary completes in a single call without continuation,"max_tokens bounds output length; nothing in the scenario shows truncated summaries needing continuation calls. It's tempting as a 'make each call do more' lever, but it does not overlap the four-second network waits that actually dominate the runtime.","Rewrite the loop in a compiled language, since Python's interpreter overhead is the dominant cost per iteration","Interpreter overhead is microseconds per iteration against four seconds of network wait — the bottleneck is I/O, not compute. Rewriting the language optimizes the component contributing roughly nothing to elapsed time.",Add a caching layer that stores each response so repeated runs of the script are faster,Caching helps only if the same inputs recur across runs; the first two-hour run — the actual complaint — is untouched. It's a reasonable hygiene addition but misdiagnoses a serialization problem as a repetition problem.,,,,,1,"I/O-bound work scales with concurrency, not per-call tweaks. Because API latency dominates elapsed time in LLM pipelines, issuing requests concurrently with bounded async I/O is the first throughput lever to reach for.",Applications and Integration
"During a flash sale, a ticketing platform's Claude integration starts receiving HTTP 429 responses from the API. The current code catches the error and immediately retries in a tight loop, which is making throughput worse and keeping error rates pinned. What is the correct client-side handling for this error class?",multiple-choice,"Retry with exponential backoff and jitter, honoring any server-provided retry timing, and cap concurrent requests to stay within rate limits","Correct. 429 is a transient, retryable signal meaning 'slow down': exponential backoff with jitter spreads retries out, honoring server retry guidance recovers fastest, and bounding concurrency addresses the cause. Tight-loop retries amplify exactly the pressure the server is shedding.","Treat 429 as a fatal error, fail the request permanently, and surface an outage banner to users until traffic subsides","Tempting as a fail-fast stance, but 429 is explicitly transient — requests succeed once the client slows down. Failing permanently converts a flow-control signal into a self-inflicted outage during your highest-revenue event.","Switch the failing requests to a different model tier, since rate limits are enforced separately per model","Chasing capacity across tiers dodges the actual defect — a retry loop with no backoff — and changes response quality mid-sale as a side effect. Even where limits differ, the aggressive client would soon saturate the alternative too.","Remove the client-side error handling so the HTTP library's default behavior applies, avoiding double-handling of retries","Library defaults are frequently no retries at all, or naive retries without jitter or retry-timing awareness. Deleting your handling is abdication, not simplification; correct backoff behavior must be deliberately implemented or configured.",,,,,1,"A 429 means back off: retry with exponential backoff and jitter and bound concurrency, never tight-loop. Reading REST status classes and implementing correct retry behavior is foundational to production API integration.",Applications and Integration
"A proptech company extracts listing details from property descriptions by prompting Claude to 'return the data as JSON.' The downstream ingestion service crashes several times a day: sometimes keys are named differently, sometimes prices are strings, sometimes the JSON arrives wrapped in a markdown code fence with commentary. What is the most robust design fix?",multiple-choice,Define an explicit schema for the extraction — for example a tool with typed parameters Claude must populate — and validate the output against it before ingestion,"Correct. Schema design is the load-bearing fix: an explicit typed contract (such as a tool definition whose parameters the model fills) constrains the output's structure, and validation before ingestion catches the residual failures. Structure requested by prose is a suggestion; a schema is a contract.","Expand the prompt with more sample outputs and stronger wording, such as 'you MUST return only valid JSON with these exact keys'","Tempting because emphatic prompting does improve conformance, but it remains probabilistic — key drift and type drift still occur at some rate, and each new failure mode needs another prompt patch. It hardens a suggestion rather than establishing a contract.","Have the ingestion service strip markdown fences and lowercase all keys before parsing, since those are the observed failure modes",Patch-parsing the two observed failure modes leaves every unobserved one live — the next deviation still crashes ingestion. It treats symptoms enumerable today instead of constraining the space of outputs structurally.,"Run every extraction twice and keep the response whose JSON parses, retrying until one of the two attempts succeeds","Retrying until something parses doubles cost and only filters for parseable JSON, not for the correct keys and types the service needs. Parseability is the weakest property here; the crashes come from schema drift, which retries don't constrain.",,,,,1,"Structured output needs a schema contract plus validation, not prose requests. Defining a typed schema at the model boundary and validating against it before ingestion is what makes LLM output safe to consume programmatically.",Applications and Integration
"A gaming studio is standardizing its Claude Code setup across twelve repositories. Developers keep confusing two needs: documenting each repo's build commands, architecture notes, and coding conventions for Claude to follow, versus enforcing which tools Claude may run and which commands require approval. Where does each concern belong?",multiple-choice,"Project conventions and context go in CLAUDE.md, which Claude reads as instructions; permissions and enforcement rules go in settings.json, which the tooling enforces","Correct. The two files serve different layers: CLAUDE.md carries project context and conventions the model reads and follows as instructions, while settings.json carries configuration the tooling enforces — permissions, allowed tools, approval rules. Guidance is probabilistic; settings are deterministic.","Both belong in CLAUDE.md, since it is the single configuration file Claude Code reads at the start of every session","Tempting because CLAUDE.md is the file developers touch most, but permission rules written as prose instructions are only followed probabilistically — they are guidance, not enforcement. Access control needs the configuration layer the tooling actually enforces.","Both belong in settings.json, since JSON is machine-readable and Markdown files are only documentation for humans","settings.json is not the sole configuration surface, and CLAUDE.md is not mere human documentation — Claude reads it and adjusts behavior accordingly. Cramming conventions into JSON discards the instructional channel the product is designed around.","Conventions go in settings.json as custom keys, while permissions are best stated in CLAUDE.md so Claude understands the reasons behind each rule","This inverts both layers: custom keys in settings.json don't convey conventions to the model, and permissions stated in Markdown are unenforced suggestions. The rationale ('so Claude understands') mistakes explanation for enforcement.",,,,,1,"CLAUDE.md instructs the model; settings.json configures the enforcement layer. Conventions and context belong in the instruction file Claude reads, while permissions and approval rules belong in the settings the tooling deterministically enforces.",Applications and Integration
"Marco, a platform engineer at a healthcare analytics firm, wants a nightly CI job that runs Claude Code against the repository to triage new lint failures and open a summary issue — with no human at a terminal. Interactive sessions are not an option in the pipeline. Which Claude Code capability should the job use?",multiple-choice,"Headless mode, invoking Claude Code with a prompt flag from the CI script so it runs non-interactively and returns programmatically consumable output","Correct. Headless mode (invoking the CLI non-interactively with a prompt, e.g. via the -p flag) is designed for scripts, CI pipelines, and automation where no human drives the session, and its output can be captured and parsed by the surrounding job. This matches the requirement exactly.","A built-in slash command executed in an interactive session, since slash commands are the supported way to automate recurring maintenance work","Slash commands package reusable prompts, but they run inside a session — they are an ergonomic shortcut for a user or agent, not a scheduling or CI mechanism by themselves. This confuses a workflow shortcut with a non-interactive execution mode.","Agent Memory, so Claude Code remembers the nightly task and re-runs it automatically on its own schedule without any pipeline integration",Agent Memory persists useful knowledge across sessions; it does not give Claude Code a scheduler or the ability to launch itself. Assuming memory implies autonomous recurring execution invents a capability the feature does not have — the pipeline must still invoke Claude Code.,"Session resumption, restoring the previous night's interactive session in the pipeline so the accumulated context makes triage more accurate","Session management lets you resume prior conversations, but the job's problem is running without a human, not lacking context. Resuming a long-lived session also accumulates stale context across nights, which works against clean, repeatable triage runs.",,,,,1,"Headless mode is the mechanism for non-interactive, scripted, and CI-driven Claude Code runs. Choose the operating mode — interactive, headless, or streaming — based on whether a human, a script, or a UI is consuming the output.",Claude Code
