Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"Leilani, an operations manager at a boutique hotel group, needs Claude to produce a front-desk check-in procedure her staff will actually follow at the desk. Her attempts so far return loose paragraphs of general advice. What change to her prompt would most improve the result?",multiple-choice,Ask Claude to make the procedure more professional and more detailed than the previous attempt,"""More professional and detailed"" adjusts style adjectives without telling Claude what the deliverable actually is. The model still has to guess whether she wants an essay, a memo, or a step list, so the output stays in the same loose-paragraph shape.",Request several versions in different writing styles and pick whichever reads most like a procedure,Generating variants only helps when the request itself defines the target; here every variant is sampled from the same underspecified request. Hoping one draft accidentally lands in procedure format is slower and less reliable than stating the format.,"Specify the output structure she needs: numbered steps in order, a section for exceptions, and a printable checklist staff can follow at the desk","Correct. When a task has a required output shape, an effective prompt states that shape explicitly — numbered sequential steps, an exceptions section, a desk checklist. Format and structure requirements are part of the task specification, not something Claude can infer from ""write a procedure.""",Describe the hotel group's history and brand values so Claude has deeper background context,"Brand background can inform tone, but it does nothing to convert advice paragraphs into a usable step-by-step document. The failure here is a missing structure specification, and adding unrelated context leaves that gap exactly where it was.",,,,,3,"Specify the output structure, not just the topic: prompts for operational deliverables must state the required format — steps, sections, checklists — as explicitly as the subject matter.",Prompting and Task Execution
"Solene, a sponsorship director at a conference-organizing company, wants Claude to draft prospectus copy aimed at first-time corporate sponsors. Which two elements would most improve the effectiveness of her prompt? (Choose two.)",multi-select,State the goal and how the copy will be used — persuading first-time corporate sponsors inside a printed prospectus,"Correct. Purpose and context of use shape everything about the draft — persuasion strategy, tone, and length all differ for first-time sponsors reading a printed prospectus versus renewing partners skimming an email. Stating the goal lets Claude make those choices deliberately.",Keep the prompt to a single short sentence so Claude is not overwhelmed by instructions,"Tempting because concision has value, but models handle detailed instructions well, and a one-sentence request withholds exactly the information the draft depends on. Brevity in the prompt translates directly into guesswork in the output.","Provide the source material Claude needs to draw on, such as the sponsorship tiers, pricing, and audience figures","Correct. The concrete facts the copy must feature — tier names, prices, attendance and audience data — exist only in Solene's materials. Supplying them grounds the draft in reality; withholding them forces Claude to write around missing specifics or invent them.",Flag the request as urgent and high priority so Claude allocates more effort to the response,"Urgency labels do not change how a model processes a request; effort is not a dial that priority flags turn up. The quality of the output depends on the information and instructions provided, not on how pressing the prompt claims to be.",,,,,"1,3",Purpose plus source material makes a prompt effective: state the goal with its context of use and supply the concrete facts the output must be grounded in.,Prompting and Task Execution
"Andrei, a marketing operations lead at a fitness-studio chain, sends Claude one prompt asking it to translate the spring campaign into Spanish, analyze last quarter's campaign metrics, and brainstorm slogans for fall. The response muddles the three together and shortchanges each. What should he do?",multiple-choice,Add clear headings inside the same prompt so Claude addresses each of the three parts in turn,"Tempting because structure inside a prompt does help, but these are three unrelated tasks of different types — translation, analysis, and brainstorming — each needing different context and a different prompting strategy. Headings organize a muddle; they do not remove the competition between tasks.",Ask for a much longer response so all three pieces of work have enough room to be done fully,"Length is not the constraint: the three tasks interfere because they are bundled, not because the response ran out of room. A longer combined response would be a longer muddle, still splitting attention across unrelated goals.","Move to the most capable model available, which can handle all three requests in one pass","Model capability does not fix a structural problem in the request. Any model given three unrelated deliverables in one prompt must divide its attention among them, and the bundling penalty travels with the prompt to whichever model receives it.","Separate the three unrelated deliverables into three focused requests, each with its own context and instructions","Correct. Recognizing when a request contains multiple unrelated deliverables is the first decomposition skill. Splitting them into separate, focused requests lets each get the right context, the right task-type strategy, and Claude's full attention — and lets Andrei review each on its own terms.",,,,,4,"Unrelated deliverables get separate requests: decomposition starts with recognizing a compound request, because bundled unrelated tasks compete for attention.",Prompting and Task Execution
"Diego, a research coordinator at an environmental consultancy, must digest roughly 300 pages of public comment submissions on a proposed wetland project. When he asked Claude to summarize the whole set at once, the result was shallow and the later submissions were barely reflected. What is the best restructuring?",multiple-choice,Resubmit the full set with an instruction to read every page carefully before summarizing,"An instruction to ""read carefully"" does not change the underlying problem: one pass over 300 pages spreads attention thinly, and material late in a very long input tends to get less weight. The request needs restructuring, not a diligence reminder.","Process the submissions in batches — summarize each batch thoroughly, then have Claude synthesize the batch summaries into one overall analysis","Correct. Chunk-and-synthesize is the decomposition technique for large source material: each batch gets full attention and a thorough summary, and the synthesis step then works over compact, complete inputs. Every submission influences the final analysis instead of being diluted by volume.",Summarize only the first fifty submissions and treat them as a representative sample of the rest,"Sampling might suit statistical estimation, but a public-comment analysis is expected to reflect the whole record — a major objection raised only in submission 212 would simply vanish. Discarding five-sixths of the input changes what the deliverable is.",Switch the output to bullet points so more of the submissions can fit into the summary,"Bullet points compress the writing, not the reading: the shallow coverage comes from how much source material one pass must absorb, not from the verbosity of the output format. The later submissions remain underweighted regardless of formatting.",,,,,2,"Chunk large inputs, then synthesize the pieces: when source material is too large for one thorough pass, batch the summaries first and then synthesize over them.",Prompting and Task Execution
"Ines, a brand manager at a cosmetics company, receives a launch-email draft from Claude that feels off-brief, but she finds it hard to articulate exactly why. The written brief lists explicit requirements: three named product benefits, a founder sign-off, and two specified tone words. What is her most effective next move?",multiple-choice,Regenerate the draft a few times and trust that one version will land closer to the brief,"Regeneration without feedback is a random draw from the same request, and her vague sense of ""off"" gives her no way to recognize convergence. The brief's explicit checklist is sitting unused while she gambles on variation.","Reply with ""make it better and more on-brand"" and let Claude interpret what that means","""Better and more on-brand"" hands Claude the same fuzziness Ines herself is struggling with. Vague feedback produces vague revisions; the whole advantage of a written brief is that it converts fuzzy dissatisfaction into concrete, checkable requirements.","Set the draft aside and write the email herself, since briefs this specific need a human touch","Writing it manually abandons a fixable draft and the leverage of iteration. The brief provides everything needed to direct a precise revision in seconds; hand-drafting is the fallback when requirements cannot be articulated, which is not the case here.","Ask Claude to check the draft against each requirement in the brief, report which are unmet, and then revise to close the gaps","Correct. When explicit written criteria exist, a structured requirements check is a powerful iteration move: Claude audits the draft against each brief item, surfaces the specific gaps she could not articulate, and revises against them. This turns ""something is off"" into a targeted fix list.",,,,,4,"Audit the draft against the brief, then revise: when explicit requirements exist, checking the draft against each one converts vague dissatisfaction into a concrete revision list.",Prompting and Task Execution
"Pieter, an operations analyst at a wine distributor, keeps asking Claude for a ""stock exposure summary"" and the outputs keep missing the point in ways he cannot quite diagnose — each draft is competent but answers a slightly different question. What iteration step would help him most?",multiple-choice,Repeat the request with stronger wording emphasizing that this attempt must finally get it right,"Emphasis and insistence add pressure without adding information. Claude is not underperforming from lack of effort — it is answering a different question than Pieter intends, and stern wording does nothing to expose or close that gap.",Attach more background documents so Claude has additional material to draw on for the summary,"More material can help a well-understood task, but when the task itself is being misread, extra documents give the misreading more to work with. The interpretation gap has to be found before more inputs are useful.","Ask Claude to restate in its own words what it understands the task to be, then correct the misreading its answer reveals","Correct. When outputs are consistently off in undiagnosable ways, the fastest diagnostic is to surface Claude's interpretation: having it restate the task exposes exactly where its understanding diverges — perhaps ""exposure"" is being read financially when he means physical inventory risk — so he can correct the specific misreading.",Accept that the task is too ambiguous for Claude and compile the summary manually instead,The task is not inherently too ambiguous; it contains an undefined term that a one-line clarification would fix. Abandoning the tool over a discoverable misunderstanding forfeits the time savings for every future run of this recurring summary.,,,,,3,Surface the model's interpretation to find the gap: asking Claude to restate its understanding of the task reveals the misinterpretation that targeted feedback can then fix.,Prompting and Task Execution
"Anka, a procurement manager at a telecom operator, uploads three vendor bids for a call-center refit and asks Claude, ""What do you think of these bids?"" She gets a polite, vague appraisal of each. How should she adapt her prompting for this analysis task?",multiple-choice,Ask Claude to be more critical and opinionated in its assessment of the three bids,"""Be more critical"" changes attitude, not method. Without knowing what matters to Anka — price weighting, service levels, implementation risk — sharper opinions are just vaguer judgments delivered more forcefully, still unanchored to her decision.","Provide her evaluation criteria and their relative priorities, and ask for a structured comparison of each bid against them, citing evidence from the documents","Correct. Analysis tasks reward an analytical prompt shape: supply the framework — the criteria and their priorities — and require an evidence-based, structured evaluation against it. This converts an open impression into a decision-ready comparison grounded in what the documents actually say.",Ask Claude to summarize each bid in a single paragraph so the differences stand out more clearly,"Summaries compress; they do not evaluate. Three tidy paragraphs restate each bid in isolation and leave all the comparative work — trade-offs, criteria, evidence — for Anka to do herself, which is the part she asked Claude to help with.",Ask Claude directly which vendor it would choose so she gets a decisive answer to work from,"A verdict without her criteria is a decision made on the model's implicit weightings rather than the business's. The value of AI-assisted analysis is transparent reasoning she can inspect and challenge, not an oracle's pick she cannot trace.",,,,,2,"Give analysis tasks a framework, not an open question: analytical prompting supplies the criteria and priorities to evaluate against and demands structured, evidence-cited reasoning.",Prompting and Task Execution
"Sven, an innovation lead at an agricultural-equipment maker, ran a productive open-ended brainstorm with Claude that produced forty ideas, and he has shortlisted eight. He now needs to evaluate the shortlist. Which two changes to his prompting are appropriate for this next phase? (Choose two.)",multi-select,"Shift to analytical prompting: define evaluation criteria such as cost, feasibility, and time-to-market, and ask for a structured assessment of each idea","Correct. The task type has changed from divergent to convergent, so the prompting must change with it: explicit criteria and a structured assessment give the evaluation rigor and make the resulting ranking traceable to reasons rather than to instinct.","Keep the same open-ended, judgment-free prompting style that made the brainstorm so productive","Tempting because that style just worked, but it worked for a different task type. Judgment-free openness is precisely what evaluation must abandon — the whole point of this phase is applying judgment systematically to narrow the field.",Ask Claude to simply pick its favorite of the eight ideas so the decision is settled quickly,"A favorite without criteria imports the model's implicit assumptions in place of the business's actual constraints, and produces a choice no one can defend to leadership. Speed is not worth an unexplainable decision on a product investment.","Provide the business constraints the ideas must be judged against, such as budget ceilings and current manufacturing capabilities","Correct. Evaluation is only as good as the reality it is checked against: budget ceilings, existing manufacturing capabilities, and similar constraints are facts only Sven can supply. Grounding the assessment in them separates genuinely viable ideas from attractive impossibilities.",,,,,"1,4","When the phase changes, change the prompt shape: moving from brainstorming to evaluation means trading open-ended prompts for explicit criteria plus real business constraints.",Prompting and Task Execution
"Lena, a marketing manager at a fintech startup, used Claude to produce a competitive landscape brief for tomorrow's executive meeting. Which two checks are the most appropriate way to evaluate the brief before presenting it? (Choose two.)",multi-select,Verify the specific factual claims and statistics in the brief against the original sources they describe,"Correct. Accuracy evaluation traces checkable claims — market share figures, funding rounds, product capabilities — back to authoritative sources. Fabricated or outdated specifics are precisely the kind of error that survives a fluency read-through and embarrasses a presenter in front of executives.","Confirm the brief actually answers every question the executives asked for, not just the topics Claude chose to cover","Correct. Completeness is measured against the task's requirements, not against the output's internal coherence. A brief can be accurate in everything it says while silently omitting two of the five questions leadership asked, so the evaluation must compare coverage to the original request.",Ask Claude to rate its own confidence in the brief and present it if the self-rating is high,Self-reported confidence is not a reliable accuracy signal; models express high confidence about fabricated details as readily as about true ones. Treating the model's self-rating as validation outsources the judgment the human evaluator is there to provide.,Rerun the same prompt and treat matching output across two runs as confirmation of accuracy,"Two runs of the same prompt can repeat the same mistake, because both draw on the same model and the same request. Consistency between outputs measures stability, not truth — agreement with reality requires checking against sources.",,,,,"1,2","Accuracy against sources, completeness against the ask: a full evaluation checks both whether the claims are true and whether the output covers everything the task required.",Output Evaluation and Validation
"Greta, the owner of a catering company, gives Claude her cost and revenue figures and receives a margin analysis with computed percentages recommending she discontinue one menu line. The reasoning reads persuasively. What should she do before acting on the recommendation?",multiple-choice,"Recompute the key figures herself from the source numbers, because a persuasive recommendation built on an arithmetic slip is still a wrong recommendation","Correct. Evaluating an analytical output means checking the calculations, not just the conclusions: models can make arithmetic and aggregation slips while narrating them fluently. Reworking the key margins from her own source figures is quick and settles whether the recommendation rests on correct math.","Act on the recommendation, since the narrative logic connecting the numbers to the conclusion is sound","Narrative logic can be flawless while the numbers feeding it are wrong — the argument ""drop the line because its margin is 4 percent"" is only as good as that 4 percent. Persuasiveness is a property of the prose, not evidence about the arithmetic.",Rerun the analysis in a new conversation and act if the recommendation comes out the same,"A rerun can repeat the same computational slip, and agreement between two runs of the same model on the same data is not independent verification. The source figures are sitting in her own records; checking them directly is both faster and conclusive.",Act on it cautiously by discontinuing the menu line in only one location as a limited pilot first,"A pilot tests market reaction, not arithmetic — she would be spending weeks acting on numbers she could verify in an afternoon. If the margin figure is simply miscalculated, even the limited pilot is a decision built on a wrong premise.",,,,,1,"Verify the math beneath the recommendation: analytical outputs are only as good as their computations, so recompute the decision-critical figures from source data before acting.",Output Evaluation and Validation
