Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"An insurance carrier wants to modernize claims processing end to end with Claude. The current process includes reading adjuster notes and customer emails, extracting loss details, applying the policy's coverage rules, and calculating the payout amount. Leadership asks the architect to 'put AI on the whole pipeline.' How should the architect scope Claude's role?",multiple-choice,"Use Claude for every stage so the pipeline is consistent, with a strong system prompt encoding the coverage rules and payout formulas","Tempting because a uniform stack feels simpler, but it puts deterministic, auditable logic inside a probabilistic component. Coverage rules and payout formulas have exact answers; running them through a model adds error surface and cost with no benefit, violating the principle of using the LLM only where language understanding is needed.","Use Claude only for the payout calculation, since that is the highest-stakes step and benefits most from advanced reasoning","This inverts the fit. Payout calculation is exactly where determinism matters most — a formula executed in code is always correct and auditable, while a model can miscalculate. The high stakes argue for less model involvement in that step, not more.","Use Claude for extracting and summarizing the unstructured notes and emails, and keep coverage rules and payout math in deterministic code","Correct. It applies the principle of matching each subtask to the right tool: Claude handles the genuinely fuzzy language work (unstructured extraction and summarization), while rules and arithmetic stay in deterministic software that is testable and auditable.","Decline to use Claude until the carrier digitizes its coverage rules, since mixed pipelines are harder to maintain than uniform ones","Tempting as a caution against complexity, but it treats a scoping question as a blocker. Mixed pipelines that pair LLM stages with deterministic stages are the normal, recommended architecture; waiting for full digitization forfeits value the extraction use case can deliver now.",,,,,3,Use the LLM only for the parts of the problem that need language understanding. Translating business problems starts with separating language-understanding subtasks from deterministic logic before any architecture is drawn.,Solution Design & Architecture
"A state benefits agency wants Claude to review submitted applications. The review has two parts: checking that fields are complete, dates are valid, and income figures fall within program thresholds; and reading the applicant's free-text hardship statement to flag cases needing expedited handling. A vendor proposes sending the entire application to Claude for both parts. What should the architect recommend instead?",multiple-choice,Accept the vendor design but add a second Claude pass that double-checks the field validation results before final submission,"Tempting because verification passes do catch some errors, but this treats the symptom. Stacking a second probabilistic check on top of a probabilistic check still cannot guarantee correctness for rules that ordinary code evaluates perfectly, and it doubles cost on the exact subtask that needs no model at all.","Implement field and threshold checks as deterministic validation code, and use Claude only to analyze the hardship statements","Correct. Threshold and format checks are deterministic rules with exact answers — code beats an LLM on accuracy, cost, latency, and auditability there. Claude adds value only on the genuinely linguistic subtask, the hardship narrative. This is the principle that deterministic software wins wherever rules are explicit.",Use Claude for both parts but constrain it with a strict JSON output schema so validation results are machine-checkable,"A JSON schema constrains the output's shape, not its correctness: the model can still return a well-formed but wrong verdict on an income threshold. The reasoning error is confusing structural validity with logical validity, while still paying model costs for rule evaluation.",Split the work between two Claude models: Haiku for the structured field checks and Sonnet for the hardship statement analysis,"Tempting because model tiering is a real cost technique, but it optimizes the wrong decision. Choosing a cheaper model for the field checks still leaves a probabilistic component doing work that should not involve a model at all; the split should be code versus model, not model versus model.",,,,,2,"Deterministic rules belong in code, not in a model. A core translation skill is recognizing which subtasks are rule evaluation in disguise and keeping the model out of them.",Solution Design & Architecture
"A healthcare revenue-cycle company uses Claude to suggest ICD-10 billing codes from clinical notes, writing suggestions directly into the billing system. Auditors find a small but costly rate of codes that are well-formed but do not exist in the current ICD-10 code set. The team asks the architect to fix the pipeline. What is the most appropriate change?",multiple-choice,Move the workload to Opus with extended reasoning so the model recalls the valid code set more reliably before writing output,"Tempting because a stronger model does reduce error rates, but it treats a structural gap probabilistically. No model tier guarantees membership in an external licensed code set, so invalid codes still leak into billing — at higher cost and latency — while the architectural hole remains.",Add a deterministic output-validation stage that checks every suggested code against the licensed ICD-10 code list before it reaches billing,"Correct. Where a ground-truth reference exists, output validation must be deterministic: a lookup against the actual code list catches every invalid code with certainty and negligible cost. This applies the principle that model outputs crossing into systems of record pass through a deterministic validation stage.",Add few-shot examples of correct codes to the prompt so the model learns the format and range of legitimate ICD-10 entries,"Few-shot examples improve formatting and typical-case behavior, but they cannot enumerate tens of thousands of valid codes. The reasoning error is using prompt-side mitigation for a post-processing problem that has an exact, checkable answer outside the model.",Ask Claude to self-verify each suggested code in a second pass and discard any code it cannot confirm as valid,"Tempting because self-verification is a real technique for fuzzy criteria, but here validity is a database membership question, not a judgment call. A second probabilistic pass can still confirm a nonexistent code; it adds a model call where a deterministic lookup is strictly better.",,,,,2,Validate model output deterministically before it enters a system of record. End-to-end design places hard validation at the output boundary so probabilistic components never write unchecked into downstream systems.,Solution Design & Architecture
"A fintech is designing a Claude workflow that resolves disputed card transactions and can trigger refunds. Roughly 80% of disputes are small-value and follow clear precedents; 20% involve large amounts or unusual patterns. Compliance requires human accountability for money movement, but the operations lead warns that reviewing every case would erase the efficiency gains. Where should humans sit in this flow?",multiple-choice,"Have humans review every resolution before any refund executes, since money movement makes universal review the safest default","Tempting because it maximizes control, but universal review recreates the original workload and destroys the value case — the stem states this explicitly. Blanket review is the safe-sounding answer that ignores the stated constraint; risk-proportionate gating achieves accountability without it.",Let the workflow execute all refunds automatically and have humans audit a random sample of completed cases weekly,"Post-hoc sampling alone means large or anomalous refunds execute before any human sees them, which fails the compliance requirement for accountability over money movement. Sampling is a fine quality-monitoring feedback signal but cannot serve as the control for high-impact irreversible actions.","Auto-approve small-value, precedent-matching resolutions with post-hoc sampling, and require human approval before refunds on large or anomalous cases","Correct. This is risk-tiered human-in-the-loop placement: deterministic criteria (amount, precedent match, anomaly flags) route only high-risk actions to a pre-execution approval gate, while low-risk volume flows through with sampled oversight feeding quality metrics. Human attention is spent where impact and irreversibility are highest.","Place the human at intake instead, triaging which disputes enter the automated flow so downstream approval steps become unnecessary","Tempting because intake triage feels efficient, but a human deciding entry cannot foresee what the workflow will conclude or how much money it will move. The risk lives at the action, so the control belongs at the action; gating only at intake leaves refund execution unaccountable.",,,,,3,"Place human gates at high-impact, irreversible actions in proportion to risk. End-to-end design treats human review as a scarce architectural resource positioned by risk, not applied uniformly.",Solution Design & Architecture
"A fintech compliance team processes suspicious-activity narratives through three invariant steps: extract entities and amounts, classify the typology against a fixed list, and draft a regulator-facing summary. Each step's output feeds the next, quality checks exist per step, and regulators expect consistent, explainable processing. Which pattern should the architect choose?",multiple-choice,A prompt-chaining workflow where code invokes each step in sequence with programmatic checks between the steps,"Correct. The steps are fixed, ordered, and individually checkable — the textbook profile for prompt chaining, where code orchestrates predefined model calls with gates between them. It delivers the consistency and explainability regulators expect at the lowest complexity, applying the simplest-pattern-that-works rule.",A tool-using agent that decides per narrative which of the three operations to run and in what order,"Tempting because agents are flexible, but the sequence never varies, so there is nothing for the model to decide. Agency here adds nondeterminism, latency, and cost to a compliance process that must behave identically on identical inputs — autonomy without a task that needs it.","An orchestrator-workers design where a lead model delegates each narrative to specialized extraction, classification, and drafting agents","Orchestrator-workers suits problems where subtasks cannot be predicted and must be delegated dynamically. Here the three subtasks are known at design time, so a dynamic orchestrator re-decides a fixed answer on every request, multiplying model calls for zero added capability.","A single augmented LLM call with retrieval that performs extraction, classification, and drafting in one comprehensive prompt","Tempting because one call is simple to build, but cramming three distinct steps into one prompt sacrifices the per-step quality gates and the step-level traceability the stem requires. When intermediate checkpoints matter, chaining beats a monolithic prompt despite the extra calls.",,,,,1,"When steps are fixed and checkable, chain prompts under code control. Pattern selection starts by asking whether the task's steps are predictable in advance; here they demonstrably are.",Solution Design & Architecture
"An online retailer wants shoppers to ask natural-language questions about products — compatibility, materials, sizing — answered from its catalog and spec sheets. Questions are single-turn, answers come straight from the product data, and the team wants to launch within a quarter with predictable per-query costs. A consultant has pitched a multi-agent research system for the job. What should the architect build?",multiple-choice,"An orchestrator-workers system in which specialist agents cover catalog, specs, and reviews, and a lead agent composes answers","Tempting because data spans a few sources, but a decent retrieval index unifies them without any orchestration. Multi-agent coordination multiplies token costs and latency on every query for a single-turn lookup task — a clear case of buying complexity the requirement never asked for.","An augmented LLM: a single Claude call with retrieval over the catalog and spec sheets, returning a grounded answer per question","Correct. A single-turn question answerable from indexed data is the augmented LLM's home ground: one model call plus retrieval yields grounded answers with flat, predictable per-query cost and the shortest path to launch. This is the simplest-pattern-that-works principle in its purest form.",An evaluator-optimizer loop where one model drafts answers and a second critiques them until quality thresholds are reached,"Tempting because a critique loop sounds like cheap quality insurance, but it multiplies model calls per query against the stated cost-predictability goal, and factual product answers are better assured by retrieval grounding than by iterative self-critique. Optimization loops earn their cost on refinement-heavy generation, not lookups.","A tool-using agent that browses catalog pages step by step, gathering evidence across multiple calls before answering","An agent browsing step by step suits questions whose answer location is unknown and must be discovered. Here the data is the company's own catalog, which can simply be indexed — iterative tool use per query recreates retrieval expensively, with variable latency shoppers will feel.",,,,,2,"Prefer the augmented LLM until the task proves it needs more. The taxonomy is an escalation ladder — single augmented call, then workflows, then agents — and most production tasks resolve on its first rung.",Solution Design & Architecture
"A SaaS startup's platform team proposes five specialized agents for their DevOps assistant — one each for logs, metrics, deployments, incident tickets, and documentation — coordinated by a router agent. The actual workload is answering engineers' questions, each typically needing one or two of those data sources. The CTO asks an architect to review the design. What should the review conclude?",multiple-choice,Approve the design but insist the five agents share one conversation context so coordination overhead stays manageable,"Tempting because shared context does reduce hand-off loss, but it concedes the flawed premise and adds a new problem: five agents writing into one context bloat and pollute it. The design question is whether multiple agents are warranted at all, and for single-question, few-source tasks they are not.","Approve the design, since specialized agents per data source will each develop deeper competence than any generalist could","The 'deeper competence' intuition imports a human-team metaphor that does not hold: an agent's competence per source comes from its tool design and context, which a single agent carries just as well. What the split actually guarantees is inter-agent handoffs, context duplication, and multiplied token cost on every question.","Replace the router agent with deterministic classification code, keeping the five specialist agents behind cheaper dispatch","Tempting because deterministic dispatch is a real improvement over a router model, but it optimizes the wrong layer. The expense and fragility live in running five agent loops with duplicated context; cheaper routing into an unnecessary ensemble still pays that price.","Replace the ensemble with a single agent holding five well-designed tools, one per data source, invoked as each question requires","Correct. When each request needs a bounded, predictable slice of capability, a single agent with well-designed tools beats a multi-agent system: no coordination overhead, no context duplication, no cost multiplication, one thing to evaluate and debug. Multi-agent is justified by scale or parallel breadth, not by tidy org-chart decomposition of data sources.",,,,,4,A single agent with good tools beats multiple agents for bounded tasks. The first multi-agent design decision is whether to be multi-agent at all — tool boundaries usually suffice where people reflexively draw agent boundaries.,Solution Design & Architecture
"A media-monitoring firm runs an orchestrator-workers system in which workers scan outlet clusters for brand mentions and a lead agent compiles client briefings. Output quality is good, but token spend is running four times the original estimate, and finance has set a hard monthly budget. The architect must cut cost without a major quality loss. Which two changes are most effective? (Choose two.)",multi-select,"Run worker agents on Haiku with tightly scoped scanning instructions, reserving the stronger model for the lead agent's synthesis","Correct. Tiering models by role is the primary multi-agent cost lever: scanning for mentions is a narrow, high-volume task well within Haiku's capability, while synthesis quality concentrates in one lead-agent call. Matching model capability to subtask difficulty cuts the multiplied worker spend where it accumulates.",Give every worker the full orchestration history and prior briefings as shared context so repeated background tokens amortize,"Tempting because 'shared context' sounds efficient, but it is precisely how multi-agent costs explode: every worker re-reads the entire history on every call, so tokens multiply by worker count. Amortization is an illusion here — input tokens are paid per call, and workers gain nothing from other clusters' scan logs.","Trim each worker's context to only its outlet cluster and task brief, instead of the full client profile and system history workers currently receive","Correct. Context isolation is a cost control as much as a quality one: each worker needs only its own cluster and brief, and everything beyond that is paid for across every worker on every invocation. Minimal per-worker context attacks the token multiplication that defines multi-agent overspend.","Standardize all agents on Opus so fewer retries and re-scans are needed, reducing total calls even at a higher per-token price","Tempting because fewer retries is a real effect of stronger models, but the workload is high-volume scanning where Haiku already suffices — Opus pricing across all workers would raise spend dramatically against a hard budget. This is over-provisioning capability where the task does not demand it.",,,,,"1,3","Control multi-agent cost through model tiering by role and minimal isolated contexts. Token cost in multi-agent systems multiplies by agent count and context size, so both levers must be designed deliberately.",Solution Design & Architecture
"A law firm needs Claude to review 300-page credit agreements against the firm's risk checklist. Whole-document prompts miss issues buried mid-document, and reviews must finish within an hour of receipt. The agreements have a strong conventional structure — definitions, covenants, events of default, schedules. How should the architect decompose the task?",multiple-choice,"Chain sequential passes over the whole document, each pass focusing on one checklist theme so attention stays narrow per pass","Tempting because per-theme passes do narrow the model's focus, but each pass still spans 300 pages, so the mid-document attention problem persists — and the passes run sequentially against a one-hour deadline. It decomposes along the wrong axis: the document's length is the bottleneck, not the checklist's breadth.","Split the document into fixed 20-page windows with overlap, review each window in parallel, and merge the flagged issues","Parallel windows solve length and latency, but arbitrary 20-page cuts sever the document's semantic units: a covenant split across windows is reviewed in fragments, and overlap only papers over boundaries rather than aligning with them. Fixed-size chunking is the lazy version of the structural split available here.","Section the agreement along its structural boundaries, review each section in parallel against the checklist items relevant to it, then aggregate findings with cross-references","Correct. Sectioning along natural document boundaries keeps each unit semantically whole, lets checklist items map to the sections where they apply, and parallelism meets the deadline. Aggregation handles cross-section references. Decompose where the artifact itself draws its lines — that is the sectioning pattern done properly.",Run the full document through three independent review calls and keep only issues that at least two of the three reviews flag,"Tempting because voting raises confidence, but each vote is still a whole-document pass that suffers the stated mid-document blindness — three correlated weak reviews do not make a strong one. Majority filtering also discards findings that a single pass legitimately catches, trading recall away in a risk review.",,,,,3,Decompose along the artifact's natural structural boundaries. Effective decomposition follows the seams already present in documents and processes rather than imposing arbitrary cuts.,Solution Design & Architecture
"A global retailer generates product descriptions in English, checks them against brand and legal guidelines, and then translates approved copy into eight languages. Today one mega-prompt does everything, and failures are opaque: when Portuguese copy violates a legal rule, no one can tell whether generation, checking, or translation is at fault. How should the architect restructure this?",multiple-choice,"Keep one call but require a structured output with separate fields for the draft, the compliance verdict, and each translation, making failures attributable per field","Tempting because structured fields do improve output legibility, but the work still happens in one entangled forward pass: the 'compliance verdict' field is produced by the same generation that wrote the draft, so nothing independently gates anything. Attribution labels on a monolith are not stage isolation.","Chain the stages — generate, then check, then translate — with a programmatic gate after the check that blocks non-compliant copy from ever reaching translation","Correct. The task has natural sequential stages with a hard dependency — only approved copy should be translated — which is prompt chaining's home case: decompose into calls at the process boundaries and place a programmatic checkpoint between check and translate. Each stage becomes separately testable, and the gate stops defects from propagating into eight languages' worth of wasted work.","Split by language instead: eight parallel calls each generate, check, and translate for one locale, so failures at least isolate to a language","Per-locale splitting multiplies the generation and compliance work eight times over — the English draft and its legal check are shared work that should happen once. It parallelizes along the wrong seam and still leaves each call an unattributable mega-prompt internally, just eight of them.",Add an evaluator model that reviews the mega-prompt's final output in every language and reports which stage most likely caused each defect,"Tempting because an evaluator adds a quality signal, but post-hoc guessing at which stage inside an opaque call failed is exactly backwards: the architecture should make stages observable, not hire a model to speculate about them. It adds cost while leaving the entangled structure intact.",,,,,2,"Chain at process boundaries and gate programmatically between dependent stages. Decomposition converts opaque end-to-end behavior into stages that can be gated, tested, and debugged independently.",Solution Design & Architecture
