Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"After your support agent executes a lookup_order tool call, the very next model turn requests the same order lookup again, as if the tool had never run. Inspecting the loop code, you see that each iteration sends a fresh request containing only the system prompt and the original user message. What is the root cause of the repeated tool calls?",multiple-choice,"The tool results are never appended to the conversation history, so the model cannot incorporate them into its next-step reasoning","Correct. In a working agentic loop, each tool result is appended to the conversation history and sent back with the next request so the model can reason about the new information. Rebuilding the request from scratch each iteration erases everything the tools returned, so the model is genuinely acting on a context in which the lookup never happened.","The lookup_order tool description is too minimal, so the model cannot tell that it already has the information it needs","Tempting because weak descriptions do cause tool-selection problems, but description quality affects which tool gets chosen, not whether prior results are visible. Even a perfectly described tool will be re-called if its results were dropped from the context the model receives.","tool_choice is left at ""auto"", which permits the model to re-request tools; setting it to ""any"" would prevent duplicate calls","This misreads what tool_choice controls: it constrains whether and which tool the model must call on a given request, not the model's memory of past calls. Setting ""any"" would actually force a tool call on every turn, making the duplicate-call symptom worse, not better.",The loop is missing a PostToolUse hook to normalize the order data into a format the model can recognize on later turns,"PostToolUse hooks transform tool results before the model processes them, which presupposes the results reach the model at all. Here the results never enter the conversation history, so no amount of normalization would fix the underlying missing-context bug.",,,,,1,Tool results must be appended to conversation history between iterations so the model can incorporate new information into its reasoning. Agentic loops work because each iteration's results become context for the next — dropping them breaks progress tracking entirely.,Agentic Architecture & Orchestration
"Your research system's coordinator routes every incoming query through the full pipeline — web search, document analysis, synthesis, then report generation — even when a user asks a simple factual question one search could answer. Latency and cost are triple what simple queries need. What coordinator design change best addresses this?",multiple-choice,Design the coordinator to analyze each query's requirements and dynamically select which subagents to invoke rather than always running the full pipeline,Correct. The coordinator's role includes deciding which subagents a given query actually needs based on its complexity. Model-driven dynamic selection lets a simple factual query invoke only the search subagent while a broad research request still gets the full pipeline — matching cost and latency to the work required.,Add a deterministic keyword classifier in front of the coordinator that maps query patterns to fixed predefined subagent sequences,"Tempting because it is deterministic, but a keyword classifier is a pre-configured decision tree: it replaces the model's contextual reasoning with brittle pattern rules that misroute anything the keywords did not anticipate. The strength of an LLM coordinator is precisely that it can reason about query requirements.",Cache complete pipeline outputs by query text so repeated questions skip the pipeline entirely on subsequent requests,"Caching helps only for exact repeats, which are rare for research queries, and does nothing for the first occurrence of every simple question. It treats a symptom of over-invocation rather than fixing the coordinator's routing decision itself.","Switch every subagent to a smaller, faster model so that running the full pipeline on simple queries becomes cheap enough to tolerate","This accepts wasted work and tries to make it cheaper rather than eliminating it. Smaller models also degrade quality on the genuinely complex queries where the full pipeline is warranted, so it trades away capability without fixing the routing problem.",,,,,1,"Coordinators should analyze query requirements and dynamically select which subagents to invoke rather than always routing through the full pipeline. Deciding which subagents a query needs, based on its complexity, is a core coordinator responsibility.",Agentic Architecture & Orchestration
"A research run takes nine minutes because your coordinator invokes its three search subagents one at a time, each in a separate assistant turn. The subtopics have already been partitioned so the three searches are fully independent and non-overlapping. What change yields the largest latency improvement?",multiple-choice,Have the coordinator emit all three Task tool calls in a single response so the search subagents are spawned and run in parallel,"Correct. Parallel subagent spawning is achieved by emitting multiple Task tool calls in one coordinator response rather than spreading them across turns. Since the subtopics are independent and already partitioned to avoid duplication, the three searches can run concurrently and total time drops to roughly the longest single search.",Replace the three specialized search subagents with one subagent given a broader combined query covering all three subtopics,"Tempting as a simplification, but it undoes the deliberate partitioning that minimizes duplication and gives each agent a focused scope. One agent working a triple-width query sequentially does the same total work in the same serial time, with worse focus per subtopic.",Give each search subagent a strict output-token budget so each sequential invocation completes in roughly a third of the time,"Token budgets may trim each search slightly but leave the runs serial, so total latency remains the sum of three searches. It also risks truncating findings, which damages the downstream analysis and synthesis stages that depend on complete search output.",Move the searches into PostToolUse hooks on the coordinator so they execute deterministically outside the model's turn structure,PostToolUse hooks intercept and transform tool results after a tool runs — they are not an execution engine for delegated research work. Moving searches into hooks abandons the subagent model entirely and with it the coordinator's ability to reason over each search's results.,,,,,1,"Spawn parallel subagents by emitting multiple Task tool calls in a single coordinator response rather than across separate turns. Independent, well-partitioned subtopics then run concurrently, cutting total latency to roughly the longest single subtask.",Agentic Architecture & Orchestration
"Your support agent consumes MCP tools built by three different backend teams: one returns dates as Unix timestamps, another as ISO 8601 strings, and a third encodes order status as bare numeric codes. The agent intermittently misorders events when comparing dates across tools. What is the most reliable fix?",multiple-choice,"Implement a PostToolUse hook that normalizes timestamps, date strings, and status codes into one consistent format before the model processes the results","Correct. PostToolUse hooks intercept tool results for transformation before the model ever sees them — the canonical use case being normalization of heterogeneous formats from different MCP tools. The model then reasons over uniform data every time, making the date comparisons deterministic rather than dependent on in-context conversion.",Add a system prompt section documenting each tool's format quirks and instructing the model to convert everything to ISO 8601 before comparing,"Tempting because it documents the real problem, but it relies on the model performing format conversion correctly on every single turn — probabilistic compliance for what should be a mechanical transformation. Intermittent failures are exactly what prompt-based normalization produces.",Ask each backend team to change its API to return ISO 8601 dates and human-readable statuses so the tools are consistent at the source,"Consistency at the source is ideal in principle, but three separate backend teams changing public API contracts is slow, may break other consumers, and sits outside your team's control. A hook achieves the same normalized view immediately at your integration boundary.",Add few-shot examples to the prompt demonstrating correct date comparisons across Unix timestamps and ISO 8601 strings,"Few-shot examples can improve the model's conversion behavior, but they still leave a mechanical, fully deterministic task to probabilistic inference and spend prompt tokens on every request. Deterministic transformations belong in code that runs on every result, not in examples the model may or may not apply.",,,,,1,"Use a PostToolUse hook to normalize heterogeneous formats (Unix timestamps, ISO 8601, numeric status codes) before the model processes tool results. Mechanical transformations deserve deterministic code at the integration boundary, not probabilistic in-context conversion.",Agentic Architecture & Orchestration
"An engineer asks your Agent SDK developer productivity agent to ""add comprehensive tests to this legacy codebase"" — no test suite exists, module boundaries are unclear, and nobody on the team knows the code well. Which task decomposition strategy fits this assignment?",multiple-choice,"First map the codebase structure, identify high-impact areas, then build a prioritized test plan that adapts as dependencies are discovered during the work","Correct. This is an open-ended investigation task where the right subtasks cannot be known until the code is explored, so it calls for dynamic adaptive decomposition: map structure first, identify high-impact areas, create a prioritized plan, and revise it as each step reveals dependencies the plan could not have anticipated.","Define a fixed sequential pipeline up front — enumerate every module, then generate tests for each in a predetermined order until the list is exhausted","Tempting because fixed pipelines are predictable and testable, but prompt chaining fits workflows whose steps are knowable at design time. In an unmapped legacy codebase the module list, priorities, and hidden dependencies are exactly what is unknown, so any fixed up-front sequence is built on guesses.",Begin generating tests immediately for the first source file and proceed file by file in directory order so progress is visible from the first hour,"Directory order is an arbitrary priority function: it spends early effort on whatever sorts first rather than on high-impact, high-risk areas, and it discovers structural surprises at random times with no plan to absorb them. Visible progress on low-value files is not progress toward comprehensive coverage.","Ask the engineer to supply a complete module-by-module test specification first, since decomposition should be settled before an agent starts work","This just relocates the impossible task: nobody knows the code well, so the engineer cannot write the complete specification either. Adaptive decomposition exists precisely so the agent can build understanding incrementally instead of demanding perfect up-front knowledge from anyone.",,,,,1,"Open-ended tasks like adding tests to an unknown legacy codebase need dynamic decomposition: map structure, identify high-impact areas, and keep a prioritized plan that adapts as dependencies are discovered. Fixed pipelines fit only work whose steps are knowable at design time.",Agentic Architecture & Orchestration
"Your research system's document subagent exposes one generic analyze_document tool that takes a free-text instructions parameter. Depending on phrasing, it returns summaries, extracted figures, or claim checks in unpredictable shapes, and downstream agents cannot rely on the output structure. What is the best redesign?",multiple-choice,"Split it into purpose-specific tools — extract_data_points, summarize_content, and verify_claim_against_source — each with a defined input/output contract","Correct. Splitting a generic tool into purpose-specific tools with defined input/output contracts gives each operation a clear name, a predictable schema, and an unambiguous selection signal. Downstream agents can depend on each tool's shape, and the model selects by purpose instead of encoding intent into free text.",Keep the single tool but require callers to phrase the instructions parameter using a documented template that enumerates the allowed request types,"Tempting because templates constrain phrasing, but the tool still multiplexes three different operations through one text field — the model must compose the template correctly every time, and the output shape still varies by request type. The contract remains implicit where it should be structural.",Keep the single tool and attach a strict JSON schema to its output so every response is guaranteed to arrive in one machine-parseable shape,"A single schema cannot honestly represent three different operations: it either becomes a loose union (downstream agents still branch on what actually arrived) or forces summaries and data extractions into the same shape. Schema rigor is valuable per purpose, which is exactly what splitting provides.",Wrap the tool in a PostToolUse hook that detects which kind of output came back and reformats it into a normalized envelope for downstream agents,"A normalization hook treats the symptom downstream while the tool interface stays ambiguous: the model still guesses phrasing, the tool still guesses intent, and the hook now guesses which output type it received. Three layers of inference replace one clear contract per operation.",,,,,1,"Split generic multiplex tools into purpose-specific tools — extract_data_points, summarize_content, verify_claim_against_source — each with a defined input/output contract. Structural clarity beats templated free text, union schemas, and after-the-fact normalization.",Tool Design & MCP Integration
"Your research system's search tool returns an empty array both when the search backend times out and when a query genuinely matches nothing. The coordinator keeps re-issuing queries that already completed successfully with no matches, while real outages pass unnoticed as ""no results."" How should the tool interface change?",multiple-choice,"Distinguish access failures — returned via isError with transient metadata for retry decisions — from valid empty results, which return as successes with zero matches","Correct. These are semantically different outcomes that must be structurally different in the interface: an access failure needs a retry decision and should arrive as a structured error (isError with a transient category and isRetryable flag), while a valid empty result is a successful query with no matches and should be reported as such. The coordinator can then act correctly on each.","Mark every empty response as an error so the coordinator always retries, guaranteeing that genuine outages are never silently mistaken for empty result sets","Tempting because it makes outages visible, but it does so by falsifying the semantics of successful queries: a legitimate no-match answer is real information, and flagging it as an error triggers the exact wasted retries the scenario describes. Correctness requires distinguishing the cases, not collapsing them the other way.","Have the coordinator infer the difference from response latency, treating fast empty responses as true no-match results and slow ones as probable timeouts","Latency is a heuristic, not a signal: caches make failing calls fast, cold starts make successful calls slow, and every inference error either retries a valid result or ignores an outage. The tool knows definitively which case occurred and should say so explicitly in its response structure.","Raise the search backend's timeout ceiling so slow queries complete more often, which reduces how frequently the ambiguous empty case occurs at all","Longer timeouts shrink one trigger of the ambiguity without resolving it — timeouts still happen, and when they do the coordinator still cannot tell them from empty result sets. The interface defect survives any backend tuning; only structural distinction in the response removes it.",,,,,1,Tool interfaces must distinguish access failures (structured errors with retry metadata) from valid empty results (successful queries with no matches). Collapsing the two in either direction produces wasted retries or silently missed outages.,Tool Design & MCP Integration
"Your team wants its GitHub MCP server available to every developer who clones the repository, authenticated with each developer's own token and no secrets committed to version control. One engineer also runs a personal experimental scraper server that should not affect teammates. Which two configuration choices are correct? (Choose two.)",multi-select,"Define the GitHub server in the project-scoped .mcp.json, referencing the credential as ${GITHUB_TOKEN} for environment variable expansion","Correct. Project-scoped .mcp.json is the mechanism for shared team tooling: it ships with the repository so every developer who clones it gets the server, and ${GITHUB_TOKEN} environment variable expansion lets each developer authenticate with their own credential without any secret entering version control.",Configure the experimental scraper in the engineer's user-scoped ~/.claude.json so it stays personal and invisible to the rest of the team,Correct. User-scoped ~/.claude.json is the home for personal and experimental servers: the scraper stays available to the engineer across her projects while teammates' configurations are untouched. Both scopes' servers are discovered at connection time and available simultaneously.,"Define both servers in the project's .mcp.json with tokens inlined, since the repository is private and access is already limited to the team","Inlining tokens in a committed file is a credential leak regardless of repository visibility — tokens enter git history permanently, survive access changes, and are shared across developers who should each authenticate individually. Environment variable expansion exists precisely to keep secrets out of .mcp.json.",Have each developer add the GitHub server to their own ~/.claude.json so the shared tooling never requires changes to the repository,"This distributes shared team tooling through per-user configuration, so every new developer must discover and hand-copy the server definition, and any server change must propagate through every teammate's home directory. Project scope exists so shared tooling is versioned with the project itself.",,,,,"1,2","Shared team MCP servers belong in project-scoped .mcp.json with ${ENV_VAR} expansion for credentials; personal and experimental servers belong in user-scoped ~/.claude.json. This keeps team tooling versioned, secrets uncommitted, and personal experiments isolated.",Tool Design & MCP Integration
"Your agent must change one connection block in a generated config file made of dozens of nearly identical stanzas. Every Edit attempt fails because each candidate anchor string appears multiple times, so the tool rejects the replacement as non-unique. What is the most reliable way to complete the modification?",multiple-choice,"Use Read to load the full file contents, apply the change to the correct stanza, and use Write to save the complete corrected file","Correct. Read followed by Write is the designated fallback when Edit cannot find unique anchor text: the agent sees the whole file, modifies exactly the intended stanza with full positional context, and writes the complete result. In a file of near-identical blocks, whole-file rewriting is more reliable than hunting for uniqueness that may not exist.",Keep retrying Edit with progressively longer anchor strings until one happens to isolate the target stanza uniquely in the file,"Tempting because longer anchors sometimes do become unique, but in generated files of near-identical stanzas the repetition can extend beyond any practical anchor length, and each failed retry wastes a turn. When uniqueness is structurally unavailable, the documented fallback is Read + Write, not persistence.","Use Bash with sed to replace the matching text globally, since command-line substitution is not subject to Edit's uniqueness restriction","Global sed substitution replaces every occurrence of the matched text, modifying all the identical stanzas when exactly one should change — the very ambiguity Edit's uniqueness check exists to catch. Escaping Edit's safety property is not the same as satisfying the requirement.",Use Glob to locate an alternate copy of the configuration that contains fewer duplicate stanzas and apply the Edit there instead,"Glob finds files by path pattern; it cannot conjure a different copy of the file that needs changing, and editing some other configuration would leave the actual target untouched. The task is bound to this file, so the solution must operate on it.",,,,,1,"When Edit fails on non-unique text matches, the reliable fallback is Read to load the full file and Write to save the corrected version. Retried anchors may never become unique in repetitive files, and global sed changes every occurrence instead of the one intended.",Tool Design & MCP Integration
"A healthcare SaaS company maintains a monorepo with six packages. The root CLAUDE.md has grown to 2,400 lines covering API standards, frontend conventions, database migration rules, and deployment procedures for every package. Developers report Claude Code behaving inconsistently, and every session burns tokens on standards irrelevant to the package being edited. Package maintainers know best which standards apply to their code. What is the most maintainable restructuring?",multiple-choice,Ask each developer to maintain a personal ~/.claude/CLAUDE.md containing only the standards for the packages they usually work on,"Tempting because it reduces each session's context, but it moves shared standards into unshared user-level files, guaranteeing drift between developers and leaving new hires with nothing. It solves token waste by abandoning consistency, which is the wrong trade-off.",Split the standards into focused files and have each package's CLAUDE.md use @import to include only the standards files relevant to that package,"Correct. The @import syntax keeps CLAUDE.md modular: standards live in focused external files, and each package's CLAUDE.md imports only what applies, curated by the maintainers who hold the domain knowledge. Sessions load relevant context without the monolith's noise.",Keep the monolithic root CLAUDE.md but add a table of contents and instruct Claude to read only the sections that apply to the current task,"Tempting because it requires no restructuring, but a table of contents relies on the model choosing to skip sections — the full file still loads and consumes tokens, and inference-based section selection is exactly the inconsistency being reported. It treats the symptom, not the structure.",Convert the entire standards document into a skill so that developers can invoke it on demand whenever they need the team's conventions,"Tempting because skills reduce always-loaded context, but universal coding standards must apply to every session automatically, not only when a developer remembers to invoke a skill. On-demand invocation is the wrong loading model for always-applicable conventions.",,,,,2,Modularize CLAUDE.md with @import instead of growing a monolith. Scoped imports curated by package maintainers keep every session's context relevant and token-efficient.,Claude Code Configuration & Workflows
