Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"After your support agent executes a lookup_order tool call, the very next model turn requests the same order lookup again, as if the tool had never run. Inspecting the loop code, you see that each iteration sends a fresh request containing only the system prompt and the original user message. What is the root cause of the repeated tool calls?",multiple-choice,"The tool results are never appended to the conversation history, so the model cannot incorporate them into its next-step reasoning","Correct. In a working agentic loop, each tool result is appended to the conversation history and sent back with the next request so the model can reason about the new information. Rebuilding the request from scratch each iteration erases everything the tools returned, so the model is genuinely acting on a context in which the lookup never happened.","The lookup_order tool description is too minimal, so the model cannot tell that it already has the information it needs","Tempting because weak descriptions do cause tool-selection problems, but description quality affects which tool gets chosen, not whether prior results are visible. Even a perfectly described tool will be re-called if its results were dropped from the context the model receives.","tool_choice is left at ""auto"", which permits the model to re-request tools; setting it to ""any"" would prevent duplicate calls","This misreads what tool_choice controls: it constrains whether and which tool the model must call on a given request, not the model's memory of past calls. Setting ""any"" would actually force a tool call on every turn, making the duplicate-call symptom worse, not better.",The loop is missing a PostToolUse hook to normalize the order data into a format the model can recognize on later turns,"PostToolUse hooks transform tool results before the model processes them, which presupposes the results reach the model at all. Here the results never enter the conversation history, so no amount of normalization would fix the underlying missing-context bug.",,,,,1,Tool results must be appended to conversation history between iterations so the model can incorporate new information into its reasoning. Agentic loops work because each iteration's results become context for the next — dropping them breaks progress tracking entirely.,Agentic Architecture & Orchestration
"An engineer new to the Claude Agent SDK sends a request, receives stop_reason ""tool_use"" with a lookup_order tool call in the response, and then re-sends the identical conversation unchanged, expecting Claude to execute the tool on the second pass. The loop spins, receiving the same tool request every time. What misunderstanding of the agentic loop lifecycle does this reveal?",multiple-choice,"tool_choice was left at ""auto""; setting it to ""any"" would make the model execute the requested tool instead of merely asking for it","tool_choice controls whether and which tool the model must request — ""auto"" permits text, ""any"" forces some tool call. No tool_choice value causes execution: the model always stops at emitting the tool_use block, and the caller must run it.","The loop lacks a PostToolUse hook, which is the Agent SDK component responsible for actually running requested tools",PostToolUse hooks intercept tool results after execution to transform them before the model processes them. They presuppose that something already executed the tool; they are not an execution engine and cannot substitute for the application's role in the loop.,"In the agentic loop, the application is responsible for executing requested tools and returning their results in the next request — Claude only emits the tool call; it never runs the tool itself","Correct. The agentic loop lifecycle is: send the request, inspect stop_reason, execute the requested tools in your application, and return the results for the next iteration. Claude's ""tool_use"" response is a request for the caller to act — re-sending the unchanged conversation gives the model no new information, so it can only repeat the same request forever.",The request is missing a server-side execution flag that tells the API to run the tool and inline its output before responding,This invents an API capability that does not exist for this loop: there is no flag that makes the Messages API execute your MCP or custom tools server-side and splice in results. The execute-and-return step belongs to the application layer by design.,,,,,3,"In the agentic loop lifecycle the application executes requested tools and returns results for the next iteration; Claude only emits tool_use requests. Re-sending an unchanged conversation gives the model nothing new, so it repeats the same tool request indefinitely.",Agentic Architecture & Orchestration
"Your developer productivity agent often requests several tools in a single assistant turn — for example three Grep searches over different directories as parallel tool_use blocks. The loop implementation executes only the first requested tool and returns just that one result; the model then re-requests the remaining searches on subsequent turns, roughly tripling turn count and latency. What is the correct loop behavior?",multiple-choice,"Configure forced tool selection so the model can only ever emit one tool call per turn, eliminating the multi-tool case the loop cannot handle","Forced tool selection ({""type"": ""tool"", ""name"": ...}) exists to guarantee a specific tool is called, not to work around an incomplete loop. Constraining the model to one call per turn preserves the serialization problem — three searches still take three round-trips — and removes legitimate parallelism the model was using well.",Return the first tool's result along with a text note telling the model that the other requested searches are queued and still pending,"A prose note about pending work is unstructured state the model must track across turns, and the missing tool calls still lack results in the conversation history. The model will re-request them anyway, or worse, reason as though the pending searches already ran.","Split each multi-tool turn into separate conversations, one per requested tool, and merge the assistant's conclusions afterwards","Splitting into per-tool conversations destroys the shared context that motivated the parallel requests: each fork loses the original task framing and the other searches' results, and the merge step has no principled way to reconcile three independently reasoned conclusions.","Execute every tool requested in the turn and return a result for each tool call in the next request, so the model reasons over all outcomes in a single iteration","Correct. When a turn contains multiple tool_use blocks, the loop should execute all requested tools and return a result for every one of them in the next request. That is what lets the model requested parallel work for: it incorporates all outcomes at once and decides the next action with complete information, collapsing three round-trips into one.",,,,,4,"When a single turn requests multiple tools, execute them all and return a result for each in the next request. Partial execution leaves dangling requests the model must re-issue, serializing intentionally parallel work and tripling latency.",Agentic Architecture & Orchestration
"Your research system's coordinator routes every incoming query through the full pipeline — web search, document analysis, synthesis, then report generation — even when a user asks a simple factual question one search could answer. Latency and cost are triple what simple queries need. What coordinator design change best addresses this?",multiple-choice,Design the coordinator to analyze each query's requirements and dynamically select which subagents to invoke rather than always running the full pipeline,Correct. The coordinator's role includes deciding which subagents a given query actually needs based on its complexity. Model-driven dynamic selection lets a simple factual query invoke only the search subagent while a broad research request still gets the full pipeline — matching cost and latency to the work required.,Add a deterministic keyword classifier in front of the coordinator that maps query patterns to fixed predefined subagent sequences,"Tempting because it is deterministic, but a keyword classifier is a pre-configured decision tree: it replaces the model's contextual reasoning with brittle pattern rules that misroute anything the keywords did not anticipate. The strength of an LLM coordinator is precisely that it can reason about query requirements.",Cache complete pipeline outputs by query text so repeated questions skip the pipeline entirely on subsequent requests,"Caching helps only for exact repeats, which are rare for research queries, and does nothing for the first occurrence of every simple question. It treats a symptom of over-invocation rather than fixing the coordinator's routing decision itself.","Switch every subagent to a smaller, faster model so that running the full pipeline on simple queries becomes cheap enough to tolerate","This accepts wasted work and tries to make it cheaper rather than eliminating it. Smaller models also degrade quality on the genuinely complex queries where the full pipeline is warranted, so it trades away capability without fixing the routing problem.",,,,,1,"Coordinators should analyze query requirements and dynamically select which subagents to invoke rather than always routing through the full pipeline. Deciding which subagents a query needs, based on its complexity, is a core coordinator responsibility.",Agentic Architecture & Orchestration
"Aiming for thoroughness, your research coordinator decomposes every broad topic into fifteen or more hyper-narrow subtasks before delegating — one subagent per tiny sliver. Reports come back covering each sliver in isolation yet reviewers consistently find whole thematic areas and cross-cutting connections missing from the final output. What is the underlying design problem?",multiple-choice,"Overly narrow task decomposition by the coordinator is a documented risk that produces incomplete coverage of broad topics — partition into fewer, meaningfully scoped subtopics and let iterative refinement fill gaps discovered after synthesis","Correct. Overly narrow decomposition is a named coordinator risk: slicing a broad topic into slivers loses the connective themes that live between the slices, and no up-front plan can enumerate everything a broad topic contains. Meaningful subtopic scope plus a refinement loop — evaluate synthesis for gaps, re-delegate targeted queries — turns coverage into a checked property.",Fifteen subagents is simply too few for genuine thoroughness; the coordinator should decompose further until every conceivable aspect of the topic has a dedicated agent,This doubles down on the failure mode: more slivers mean more isolated fragments and even less chance any agent sees the relationships spanning them. The missing material is not un-assigned slivers; it is the connective tissue that fragmentation itself destroys.,The slivers would integrate correctly if the subagents shared memory; enabling context inheritance between subagent invocations would restore the missing connections,"Subagents do not share memory or inherit context between invocations, and no configuration changes that — isolation is fundamental to how subagents work. More importantly, shared memory would not fix a decomposition that never asked anyone to investigate the cross-cutting themes.","Decomposition should move out of the coordinator entirely — let each search subagent choose its own scope, since agents closest to the sources judge coverage best","Pushing scope selection into the subagents abandons the coordinator's core responsibility of task decomposition and delegation. Agents choosing their own scope produce uncontrolled overlap and uncovered gaps, with no single vantage point responsible for whole-topic coverage.",,,,,1,Overly narrow task decomposition by the coordinator produces incomplete coverage of broad topics — connective themes fall between the slivers. Decompose into meaningfully scoped subtopics and close remaining gaps through iterative refinement rather than ever-finer slicing.,Agentic Architecture & Orchestration
"Your synthesis subagent was given a web-search tool ""for convenience"". Production traces now show that when it notices coverage gaps mid-synthesis, it quietly runs its own searches — duplicating work the search subagents already did, issuing queries nobody can observe at the hub, and occasionally citing sources the analysis stage never vetted. What is the correct orchestration pattern?",multiple-choice,Keep the search tool but add a system prompt instruction telling the synthesis agent to search only when strictly necessary and to log its reasons,"Prompt instructions make the misuse rarer, not absent, and every remaining self-serve search still bypasses the hub: unvetted sources flow into reports and the coordinator's picture of what was searched stays incomplete. The structural problem is tool placement, not search frequency.","Give the document-analysis subagent a search tool as well, so gaps get covered redundantly from two independent vantage points","Duplicating the misplaced capability doubles the failure mode: now two agents outside the search specialization issue unobserved queries, duplication rises further, and the coordinator's view of overall research coverage degrades even more.",Add logging middleware around the synthesis agent's searches so that at least the hub gains visibility into the queries being issued,"Logging restores visibility but not control: the searches still bypass the analysis stage, so unvetted sources continue reaching reports, and the coordinator still cannot partition scope or prevent duplicated retrieval. Observability of a broken flow is not a fix for the flow.","Remove search from the synthesis agent and have it report gaps to the coordinator, which re-delegates targeted queries to the search subagents and re-invokes synthesis","Correct. This restores hub-and-spoke: all inter-subagent needs route through the coordinator, which is exactly the iterative refinement loop — synthesis surfaces gaps, the coordinator re-delegates targeted queries to the search specialists, analysis vets the results, and synthesis re-runs. Every search is observed, partitioned, and quality-controlled at the hub.",,,,,4,"Route gap-filling through the coordinator: synthesis reports what is missing, the coordinator re-delegates targeted queries to the search subagents, and synthesis is re-invoked. Side-channel searching bypasses the hub's observability, scope partitioning, and quality control.",Agentic Architecture & Orchestration
"A research run takes nine minutes because your coordinator invokes its three search subagents one at a time, each in a separate assistant turn. The subtopics have already been partitioned so the three searches are fully independent and non-overlapping. What change yields the largest latency improvement?",multiple-choice,Have the coordinator emit all three Task tool calls in a single response so the search subagents are spawned and run in parallel,"Correct. Parallel subagent spawning is achieved by emitting multiple Task tool calls in one coordinator response rather than spreading them across turns. Since the subtopics are independent and already partitioned to avoid duplication, the three searches can run concurrently and total time drops to roughly the longest single search.",Replace the three specialized search subagents with one subagent given a broader combined query covering all three subtopics,"Tempting as a simplification, but it undoes the deliberate partitioning that minimizes duplication and gives each agent a focused scope. One agent working a triple-width query sequentially does the same total work in the same serial time, with worse focus per subtopic.",Give each search subagent a strict output-token budget so each sequential invocation completes in roughly a third of the time,"Token budgets may trim each search slightly but leave the runs serial, so total latency remains the sum of three searches. It also risks truncating findings, which damages the downstream analysis and synthesis stages that depend on complete search output.",Move the searches into PostToolUse hooks on the coordinator so they execute deterministically outside the model's turn structure,PostToolUse hooks intercept and transform tool results after a tool runs — they are not an execution engine for delegated research work. Moving searches into hooks abandons the subagent model entirely and with it the coordinator's ability to reason over each search's results.,,,,,1,"Spawn parallel subagents by emitting multiple Task tool calls in a single coordinator response rather than across separate turns. Independent, well-partitioned subtopics then run concurrently, cutting total latency to roughly the longest single subtask.",Agentic Architecture & Orchestration
"Your coordinator's delegation prompts read like scripts: ""Open the document. Read section 2. Extract the table on page 4. Then summarize paragraphs 6 through 9."" Subagents perform flawlessly on the document layouts the scripts anticipate and fail badly on anything else — skipping content when a section is renumbered or a table moves. How should the delegation prompts be redesigned?",multiple-choice,"Specify the research goal and the quality criteria the output must meet, letting each subagent adapt its own approach to whatever document structure it actually encounters","Correct. Coordinator prompts should specify research goals and quality criteria rather than step-by-step procedural instructions, precisely to enable subagent adaptability. A goal like ""extract the reported quarterly figures with their reporting periods; every figure must cite its page"" survives any layout, because the subagent — an LLM with the document in front of it — decides how to achieve it.","Extend each script with conditional branches covering every document variant the team has encountered so far, updating the scripts as new layouts appear","Variant-by-variant branching is an arms race against document diversity that the team never wins: each new layout fails first, then gets a patch. It also makes prompts enormous while keeping the core defect — the subagent is forbidden from using its own judgment.",Have the coordinator read each document itself first and generate a bespoke step-by-step script tailored to that document's exact layout before delegating,"This makes the coordinator do every subagent's reading work up front, destroying the delegation benefit and doubling document processing. The coordinator's context fills with layouts it should never need, and the bespoke scripts still break when a document surprises the script-writer.",Lower the subagents' sampling temperature so they follow the procedural instructions more literally and deviate less from the prescribed steps,"Temperature adjusts sampling variability, not comprehension of instructions, and stricter literalism is the opposite of the fix: the failures happen because the scripts are followed literally against documents they do not describe. More obedience to a wrong script produces more wrong extractions.",,,,,1,"Delegation prompts should specify research goals and quality criteria rather than step-by-step procedures, enabling subagents to adapt to real-world variation. Scripts fail on every layout their author did not anticipate; goals survive them all.",Agentic Architecture & Orchestration
"A customer writes to your support agent raising three issues in one message: a damaged item, a duplicate charge, and a loyalty-points question. Mid-investigation, the agent determines the duplicate charge requires a human billing specialist — who works in a separate system and cannot see the conversation transcript. Which two patterns should the agent apply? (Choose two.)",multi-select,Decompose the request into distinct items and investigate each in parallel using shared context before synthesizing a unified resolution,"Correct. Multi-concern requests should be decomposed into distinct items, each investigated in parallel with shared context, then synthesized into one unified resolution. The customer asked three things in one message and deserves one coherent answer, not a serial drip of partial replies.","Compile a structured handoff summary — customer ID, root cause analysis, disputed amount, and recommended action — for the billing escalation","Correct. Structured handoff protocols exist precisely for mid-process escalation to humans who lack transcript access: the summary must carry customer details, root cause analysis, amounts, and recommended actions so the specialist can act immediately without re-investigating from scratch.",Resolve only the damaged-item issue and ask the customer to open separate tickets for the other two concerns to keep the session focused,"Tempting as a context-management tactic, but it pushes the agent's orchestration burden onto the customer and directly harms first-contact resolution. Decomposition with shared context handles multi-concern messages without forcing the customer to re-submit their own issues.","Escalate the raw conversation as-is, since a specialist reconstructs details faster from the full history than from a second-hand summary","This fails on its own premise: the billing specialist cannot see the transcript, so ""escalate as-is"" hands them nothing. Even where transcripts are visible, a structured summary with root cause and recommended action is faster to act on than raw multi-turn history.",,,,,"1,2","Decompose multi-concern requests into distinct items investigated in parallel with shared context, and escalate with a structured handoff summary (customer ID, root cause, amount, recommended action). Both patterns keep resolution unified while giving transcript-less humans everything they need.",Agentic Architecture & Orchestration
"You implemented a programmatic prerequisite gate that blocks process_refund until get_customer has returned a verified customer ID. It works — no unverified refunds occur — but the gate silently swallows blocked calls, so the agent perceives process_refund as broken, apologizes to the customer, and gives up on cases it could have completed after verifying. How should the gate behave when it blocks a call?",multiple-choice,"Return a structured response explaining that customer verification is required first, so the agent can call get_customer, complete verification, and legitimately retry the refund","Correct. A gate's job is to enforce ordering, not to strand the workflow: returning a structured explanation converts the block into a recoverable step, steering the agent to perform verification and then retry legitimately. Enforcement stays deterministic while the agent keeps its ability to complete the case — the compliance win without the abandonment cost.","Continue failing silently by design, since revealing the gate's existence teaches the model to anticipate and possibly reason its way around the enforcement","Silence cannot strengthen a programmatic gate — the gate blocks regardless of what the model knows — so opacity buys nothing. What it costs is visible in production: the agent misdiagnoses a policy block as a system fault, misleads the customer about an outage, and abandons resolvable cases.","Terminate the automated workflow and escalate every blocked refund attempt to a human agent, since a blocked call indicates the model cannot be trusted on this case",Escalating every blocked call confuses a sequencing correction with an unresolvable case: the agent is fully capable of verifying and then refunding. Routing these to humans forfeits first-contact resolution on routine refunds and floods specialists with cases that needed one more tool call.,"Detect the block, execute get_customer automatically inside the gate using the details the customer already stated, and then allow the original refund call to proceed","Auto-executing verification with customer-stated details defeats the check's purpose: verification exists because stated identity cannot be trusted, and it may require interaction — asking for additional identifiers — that only the agent can conduct. The gate would be laundering unverified data into a verified-looking flow.",,,,,1,"When a prerequisite gate blocks a call, it should return a structured response naming the missing prerequisite so the agent can verify and retry. Silent blocking preserves compliance but destroys resolution — the agent misreads policy enforcement as system failure.",Agentic Architecture & Orchestration
