Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A national retailer's executives want a Claude-powered assistant that handles 'everything customers ask' — orders, returns, product advice, complaints, store logistics, and loyalty accounts. The team has a six-month budget and no prior LLM deployment. The architect must propose the initial release. Which scoping approach is strongest?",multiple-choice,Deliver the full assistant behind a small beta flag so real breadth-of-use data is collected from day one across all intents,"Tempting because real usage data is valuable, but shipping every intent at once means none is instrumented, evaluated, or hardened well. A first LLM deployment spread across all intents multiplies failure modes before the team has an evaluation practice, so the beta flag limits audience but not scope risk.","Build the complete intent taxonomy first, then implement all intents in parallel workstreams to hit the six-month deadline","A full taxonomy is useful analysis, but implementing everything in parallel is the classic big-bang error: integration, evaluation, and guardrail work multiplies across intents, and the six-month budget is consumed before any single intent proves value in production.","Start with product advice, since recommendation quality is where a language model most visibly outperforms existing tooling","Tempting because it is a narrow scope, but the selection criterion is wrong: 'most impressive' is a technology-led choice. Product advice has subjective success criteria and lower ticket volume, making it hard to measure and weak as an MVP value proof.","Launch with order status and returns only, chosen for high ticket volume and clear resolution criteria, and expand from there","Correct. It applies MVP scoping: pick the slice with high volume (real impact), objectively checkable outcomes (measurable success), and contained blast radius, then expand with the evaluation muscle built on that slice. Scope by measurable value, not by breadth or wow factor.",,,,,4,"Scope the MVP to a narrow, high-volume use case with objectively measurable outcomes. Good problem translation resists breadth pressure and sequences use cases by measurability and value density.",Solution Design & Architecture
"A fintech CFO asks the platform team to build 'an autonomous AI agent' for the monthly reconciliation report. The process is fully specified: pull transactions from three systems, match them on reference IDs, list unmatched items, and produce a summary memo for auditors. The steps never vary month to month. How should the architect respond to the request?",multiple-choice,"Propose a deterministic pipeline for extraction and matching, with a single Claude call drafting the auditor memo from the computed results","Correct. When every step is known in advance and mostly mechanical, code should orchestrate — and record matching on reference IDs is pure deterministic logic. Claude earns its place only at the language step, drafting the memo. This is the simplest-pattern-that-works principle applied against an executive's framing.","Build the requested agent with tools for each system, since agent autonomy will absorb future changes to the reconciliation process","Tempting because it satisfies the stakeholder's literal request, but autonomy is justified only when steps cannot be predicted in advance. Here they are fixed, so an agent adds cost, latency, and nondeterminism to a process auditors need to be repeatable — speculative flexibility is not a requirement.",Build an orchestrator-workers system where one agent per source system extracts data and a lead agent merges and reports,"Multi-agent structure mirrors the three systems nicely, which makes it tempting, but the extraction and matching work is deterministic and needs no model at all. This is over-engineering: it multiplies token cost and failure modes for a task a scheduled job handles exactly.","Propose a Claude workflow that chains extraction, matching, and memo-writing prompts so each step is a reviewable model output","Tempting because a workflow is humbler than an agent, but it still runs matching logic through model calls. ID matching done by a model can silently mismatch records in an audit-critical process; a prompt chain is the simplest LLM pattern, yet the requirement barely needs an LLM at all.",,,,,1,"Add model involvement, and especially agency, only where the task actually requires it. Part of problem translation is converting a stakeholder's solution language ('an agent') back into requirements before designing anything.",Solution Design & Architecture
"A SaaS company's support tool drafts replies with Claude, and human agents edit the drafts before sending. After six months, edit rates remain flat at around 45% even though agents clearly fix the same kinds of mistakes repeatedly. The pipeline was designed as input, retrieval, generation, and human edit, with edited replies going straight to customers. What is the key architectural gap?",multiple-choice,"The agents' edits are never captured and fed back to improve the prompts, few-shot examples, or retrieval configuration","Correct. The system produces a free, high-quality supervision signal every day — human corrections — and discards it. Closing the feedback loop by mining edits into prompt updates, few-shot examples, and retrieval fixes is exactly what a feedback stage is for; a static pipeline cannot improve no matter how long it runs.",The human edit step sits too late in the flow; agents should review the retrieved context before generation instead of after it,"Tempting because earlier human input sounds proactive, but pre-reviewing retrieved context makes agents do extra work on every ticket and still would not stop repeated model mistakes from recurring. It rearranges the human step without creating any mechanism for the system to learn.","The generation stage lacks an evaluator-optimizer loop, so drafts are not self-critiqued and refined before agents see them","An evaluator-optimizer loop can raise single-draft quality, but it critiques against fixed criteria and cannot know about the specific recurring errors agents keep correcting. It also adds per-request cost and latency while leaving the accumulated human signal unused — improvement in the wrong loop.",The retrieval stage should be replaced with fine-grained routing so each ticket category gets a specialized generation prompt,"Routing by category is a plausible refinement, but it is a guess at the cause. Without analyzing the captured edits, the team cannot know whether errors stem from category confusion, stale retrieval, or prompt gaps; restructuring first is optimizing blind.",,,,,1,"Capture human corrections as a feedback signal that improves the system. A complete architecture treats human edits and eval results as inputs to the next iteration, not as terminal byproducts.",Solution Design & Architecture
"A property insurer's Claude-based intake system classifies incoming emails into claim types and extracts key fields. When staff spot a misclassification, they fix it in the case system and move on. A year in, the same ambiguous email patterns — such as water damage versus flood — are still misclassified at the original rate. The architect is asked to make the system improve over time. What should be added?",multiple-choice,A scheduled prompt-review meeting where the team brainstorms improvements to the classification instructions each quarter,"Tempting because periodic review sounds like iteration, but brainstorming without data is guesswork: the team lacks the actual failure cases to study. A meeting cadence is not a feedback loop unless it consumes captured evidence of what the system got wrong.",An escalation path so that any email the model classifies with low confidence is handled entirely by staff instead of the pipeline,Confidence-based escalation reduces exposure to hard cases but makes the system static by design — the hardest emails are removed from the pipeline rather than learned from. It manages the symptom while guaranteeing the misclassification rate on ambiguous patterns never improves.,"A second Claude model that re-classifies every email independently, with disagreements decided by whichever model is more confident","Tempting because ensembling can raise accuracy a little, but two models trained similarly tend to share confusions like water versus flood, and self-reported confidence is an unreliable tiebreaker. It doubles cost per email while still containing no mechanism for improvement over time.","A correction-capture mechanism that logs each staff fix with the original email, building a labeled set that drives prompt and example updates and regression evals","Correct. The corrections staff already make are ground-truth labels; capturing them closes the feedback loop. The labeled set identifies systematic confusions, supplies few-shot examples and prompt clarifications, and becomes a regression eval so fixes are verified and protected. Improvement requires routing real-world signal back into the system.",,,,,4,"Turn user corrections into labeled data that feeds prompts and evals. Feedback loops are a designed pipeline stage with capture, analysis, and redeployment — not an assumption that systems improve on their own.",Solution Design & Architecture
"A hospital IT group wants Claude to investigate integration incidents, such as lab results failing to appear in patient charts. Root causes vary wildly — interface engine errors, mapping mismatches, vendor outages, credential expiries — and each finding changes what should be examined next. Investigations today take engineers hours of querying logs, configs, and monitoring dashboards. Read-only tool access to these systems is available. Which pattern is justified?",multiple-choice,A routing workflow that classifies each incident by symptom and runs the matching predefined diagnostic sequence,"Tempting because symptom-based playbooks mirror how runbooks work, but the stem says findings redirect the investigation dynamically — the diagnostic path cannot be enumerated per symptom in advance. A router picks a branch once; it cannot re-plan when evidence mid-branch points elsewhere.","A prompt chain that always executes the same ordered battery of log, config, and monitoring checks and summarizes findings","A fixed battery ignores the sequential dependence described: each result should determine the next probe. Running everything regardless wastes calls on irrelevant checks, misses paths not in the battery, and produces a data dump rather than an isolated root cause.","An augmented LLM call with retrieval over past incident reports, producing likely root causes from historical similarity","Tempting because historical similarity is genuinely useful context, but a single retrieval-augmented call can only hypothesize from past patterns — it cannot examine the live systems to confirm or refute anything. Novel failure modes, which incidents often are, would be forced into old templates.","An agent that iteratively queries the systems through read-only tools, forming and testing hypotheses until it isolates the cause","Correct. This is the profile that justifies agency: steps unpredictable in advance, each observation informing the next action, and value high enough to absorb agent cost and latency. Read-only tools bound the blast radius, satisfying the guardrail side of the more-autonomy-more-risk trade-off.",,,,,4,"Use an agent when the solution path cannot be predicted and must emerge from observations. Agency is the pattern of last resort in the taxonomy, earned only when workflows' predefined steps demonstrably cannot cover the task.",Solution Design & Architecture
"A brokerage is adding an assistant to its trading dashboard that explains portfolio changes and market events. The contract mandates a 2-second p95 response time during market hours, and answers must draw on the client's positions plus a curated news feed. A prototype agent that plans queries and iterates over tools produces excellent answers with 8-to-20-second, highly variable latencies. What should the architect do?",multiple-choice,Keep the agent but cap it at two tool-use iterations so responses stay within a bounded number of model calls per question,"Tempting because capping iterations bounds the worst case, but two agent iterations still mean sequential model calls plus tool round-trips — likely above 2 seconds at p95 — and questions needing a third step now degrade unpredictably. It trims the pattern's cost without fixing its mismatch to a hard-latency setting.","Keep the agent and switch every call to Haiku, trading answer depth for the speed needed to satisfy the latency contract","Model choice and pattern choice are different levers: Haiku shortens each call, but the agent loop's variable number of sequential calls remains the dominant, unpredictable latency term. Downgrading capability while keeping the wrong pattern sacrifices quality yet may still miss the SLA.","Redesign as a fixed workflow: fetch positions and relevant news in parallel by code, then make a single generation call with the assembled context",Correct. The data needed per question is known in advance — positions and relevant news — so nothing requires the model to direct its own retrieval. Parallel deterministic fetches plus one generation call gives near-fixed latency that can be engineered to the SLA. Hard latency contracts favor predictable workflows over open-ended loops.,"Keep the agent but return a streamed partial answer within two seconds, letting the full analysis follow as it completes","Tempting because streaming improves perceived responsiveness, but a partial answer is not the contracted answer, and p95 completion still runs 8 to 20 seconds. This treats the symptom at the UX layer while the architecture continues to violate the stated requirement.",,,,,3,"Hard latency SLAs demand patterns with bounded, predictable call structure. Latency, cost, and reliability constraints can override quality preferences in pattern selection — the taxonomy is chosen under constraints, not in the abstract.",Solution Design & Architecture
"A logistics company's nightly Claude system uses an orchestrator that dispatches eight worker agents, one per regional carrier feed, to reconcile shipment exceptions. When any single worker hits a malformed feed or an API outage, the current implementation aborts the entire run, and operations staff arrive to no report at all. The architect is asked to improve resilience. What is the best change?",multiple-choice,"Have the orchestrator treat worker failures as data: collect successful results, retry or flag failed regions, and publish a report with explicit coverage gaps","Correct. This is failure containment: a worker's failure should be scoped to its own subtask, not propagated to the whole system. The orchestrator's job includes degrading gracefully — partial results with explicitly flagged gaps beat no report — and per-region retries target the actual failure instead of punishing healthy work.",Wrap the full orchestration in a retry loop so any failed nightly run automatically re-executes from the beginning until all eight workers succeed,"Tempting because retries are the reflexive resilience tool, but re-running the entire orchestration discards seven regions of good work each attempt, multiplies cost, and never terminates if one feed stays down all night. All-or-nothing retry logic is the same brittleness moved up one level.","Merge the eight workers into one sequential agent, since a single context makes partial progress naturally recoverable after an error","A single sequential agent removes the coordination surface but also the parallelism, and it does not actually contain failures: a malformed feed mid-run can still corrupt or halt the one shared context, now with every region's progress at stake in it.",Add a supervisor agent that monitors the eight workers in real time and reassigns a failing worker's region to a healthy peer mid-run,"Tempting because live reassignment sounds robust, but a region's feed being down fails whichever agent touches it — reassignment to a peer just relocates the same error. Adding a supervisory agent introduces new coordination machinery and cost without addressing the actual failure mode.",,,,,1,Contain worker failures at the orchestrator and degrade to partial results gracefully. Multi-agent orchestration is as much about designing for subagent failure as for subagent success.,Solution Design & Architecture
"A health insurer is designing multi-agent handling for provider-contract analysis. Contracts vary enormously: some need only rate-table extraction, others require checks across regulatory riders, amendment histories, and referenced fee schedules — which subtasks apply only becomes clear once the contract is opened. Volume justifies multiple agents. Which orchestration strategy fits?",multiple-choice,"A fixed pipeline of specialist agents through which every contract passes in the same order, with agents skipping stages they find irrelevant","Tempting because a fixed pipeline is the simplest multi-stage shape, and 'skip if irrelevant' seems to add the needed flexibility. But every contract still traverses every stage, paying invocation and context cost per skip, and the pipeline cannot adapt when a contract reveals a need outside the fixed sequence.","An orchestrator agent that inspects each contract, decides which specialist subtasks it requires, spawns those workers, and synthesizes their results","Correct. When required subtasks cannot be predicted before examining the input, the delegation decision itself needs a model — the defining trigger for orchestrator-workers. The orchestrator inspects, plans, dispatches only the needed workers with scoped contexts, and owns synthesis, keeping cost proportional to each contract's actual complexity.",Broadcast parallelization: run all specialist agents on every contract simultaneously and merge whatever findings each produces,"Tempting because it guarantees coverage, but running every specialist on every contract is the most expensive possible strategy when the stem says most contracts need only a subset. Irrelevant analyses also generate noise the merge step must reconcile, degrading precision along with the budget.","A round-robin peer group in which agents pass the contract among themselves, each contributing analysis until one judges the work complete","Peer round-robin has no owner of the plan or of completion: agents duplicate effort, context accumulates as the contract circulates, and 'one judges the work complete' makes termination itself nondeterministic. Peer patterns suit negotiation-style tasks, not conditional coverage of specialist subtasks.",,,,,2,Use an orchestrator when the needed subtasks emerge only from inspecting each input. Choosing an orchestration strategy hinges on whether the subtask set is static (pipeline) or input-dependent (dynamic orchestrator).,Solution Design & Architecture
"A marketing SaaS vendor built a 12-step prompt chain for campaign copy: separate calls extract the brief, infer audience, choose tone, draft a headline, critique the headline, draft body text, critique it, harmonize the two, check brand terms, adjust length, polish, and format. The chain takes 90 seconds, any step's failure aborts the run, and quality is no better than a designer's earlier 3-step prototype. What should the architect conclude?",multiple-choice,The chain needs checkpointing so a failed step resumes from the last good output instead of aborting the whole run,"Tempting because checkpointing genuinely reduces the cost of failures, but it hardens a structure that should not exist: twelve sequential model calls impose twelve failure opportunities and 90 seconds of latency for quality no better than three calls achieved. Making a bloated chain restartable optimizes the symptom.",The critique steps should run in parallel with the drafting steps to recover most of the 90 seconds of latency,"Critiques cannot run in parallel with the drafts they critique — the data dependency is inherent — so the recoverable latency is small. More fundamentally, this accepts the twelve-step structure as given and tunes its schedule, when the evidence says the decomposition itself is the problem.","The chain's step granularity is right, but each step should get a dedicated few-shot prompt to lift quality above the prototype","Tempting because per-step prompt tuning is standard practice, but it multiplies engineering and maintenance effort across twelve steps whose existence is unjustified: the 3-step prototype already matches quality. Investing in every step before questioning the step count is effort spent defending over-decomposition.",The task is over-decomposed: steps that add no measurable quality should be merged back until each remaining boundary earns its cost,"Correct. Decomposition boundaries must pay for themselves in measurable quality, reliability, or checkability; here the extra nine steps add latency and failure surface with no quality gain over the 3-step baseline. The remedy is consolidation — the simplest structure that meets the requirement, validated step boundary by step boundary.",,,,,4,"Every decomposition boundary must earn its latency and failure cost. Over-decomposition is the mirror-image failure of monolithic prompting, and the corrective test is measured quality per added step.",Solution Design & Architecture
"A regional bank's operations group deploys Claude to process loan-servicing correspondence that a 40-person team currently handles manually. The workflow, outputs, and volumes stay exactly the same, but processing cost per document drops 70% and turnaround falls from days to hours. Preparing the executive readout, the architect must name the primary value pillar this delivers. Which is it?",multiple-choice,"Transformation, because AI-driven document processing is a fundamentally new operating capability for the bank","Tempting because the technology is new to the bank, but transformation means new capabilities, offerings, or revenue that were not possible before — the stem says workflow, outputs, and volumes are unchanged. Novel tooling applied to the same work is not a new business capability; calling it transformation inflates the claim.","Efficiency, because the same defined work is now done cheaper and faster without changing what the bank produces","Correct. Efficiency is precisely this shape: identical defined work delivered at lower cost and faster cycle time, with the 70% unit-cost drop as the headline metric. Naming the pillar accurately matters because it sets which measurements the executive readout should anchor on and what expectations follow.","Productivity, because each remaining employee can now oversee a much larger volume of correspondence than before","Tempting because staff leverage sounds like the human framing of the same numbers, but productivity as a pillar means people accomplish more or higher-value output. Here output is fixed and the machine absorbed the work — the gain is in cost and speed of the process, not in expanded human accomplishment.","Performance, because the turnaround improvement from days to hours is the headline measurable outcome","Faster turnaround is real, but 'performance' as a pillar concerns meeting defined SLAs and service commitments, and the stem states no SLA target being met or missed. Turnaround here is one component of the efficiency story, not a distinct pillar being served.",,,,,2,Efficiency is the same work done cheaper and faster; name the pillar the numbers actually support. Classifying a design's value pillar correctly determines which metrics prove success and keeps executive expectations honest.,Solution Design & Architecture
