Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A media analytics firm runs a deep-research agent that answers competitive-intelligence questions. Long investigations now fail: the single agent's context fills with raw search results and it loses track of the original question. Marco, the lead engineer, wants to restructure the system. Which architecture best addresses the problem?",multiple-choice,Move the whole investigation to the largest available context window and keep the single-agent design unchanged,"Tempting because a bigger window delays the failure, but it does not remove it: raw search results still accumulate and dilute the model's attention on the original question. It treats context exhaustion as a capacity problem when it is a structure problem.","A supervisor agent that decomposes the question and delegates searches to subagents, each returning a distilled summary from its own context","Correct. A manager/supervisor hierarchy isolates noisy intermediate work inside subagents: each subagent burns its own context on raw results and returns only distilled findings, so the supervisor's context stays focused on the question and the synthesis.",Two identical peer agents that both run the full investigation so their answers can be compared for agreement at the end,"Redundant peer agents help with answer verification, not context exhaustion — both peers still fill their own windows with raw results and hit the same failure. It duplicates cost while leaving the diagnosed problem untouched.",A workflow with a hard cap of five search calls per investigation so the context can never fill up during a run,"Capping searches keeps context small by doing less research, which sacrifices answer quality on exactly the deep investigations the product exists for. It constrains the symptom instead of restructuring where intermediate output lives.",,,,,2,"Subagents isolate noisy intermediate context from the orchestrator. Manager/supervisor hierarchies give each subtask its own context window and pass only distilled results upward, keeping the supervisor focused on decomposition and synthesis.",Agents and Workflows
"Elif, a staff engineer at a game studio, chairs an architecture review covering two proposed AI features and asks the team to state accurate tradeoffs between predefined workflows and autonomous agents before any design is approved. Which two statements are accurate? (Choose two.)",multi-select,"Agents are the cheaper option overall, because they skip steps that a fixed workflow would run unnecessarily","Tempting because agents can skip irrelevant work, but their exploratory tool calls, longer accumulated contexts, and retries typically cost more than a lean fixed pipeline; cost predictability is a workflow strength, not an agent one.","Workflows keep control flow in code, which makes their behavior more predictable and each step easier to test in isolation","Correct. In a workflow the sequence lives in ordinary code: each step can be unit-tested, logged, and reasoned about independently, which is exactly why fixed, decomposable tasks favor workflows over autonomous agents.","Workflows cannot contain model calls, so any feature that uses an LLM must be built as an agent","Workflows are defined by predetermined structure, not by an absence of LLM calls — prompt chaining is a workflow made entirely of model calls. This conflates 'uses a model' with 'is an agent', which are different questions.","Agents fit tasks where the number and order of steps cannot be known up front, at the price of less predictable latency and token spend",Correct. The defining case for an agent is a path that cannot be scripted in advance; the accepted tradeoff is variability in how long each run takes and how many tokens it consumes.,,,,,"2,4","Workflows buy predictability and testability because control flow lives in code; agents buy flexibility for unscriptable paths at the price of variable latency and spend. Neither is universally cheaper, and workflows can absolutely contain model calls.",Agents and Workflows
"An e-commerce platform's deployment agent occasionally edits files under infra/production/ even though its system prompt says 'never modify production configuration'. The SRE team needs a guarantee, not a tendency: any write to that path must be blocked every single time, regardless of what enters the model's context. What should they implement?",multiple-choice,Strengthen the system prompt with a capitalized warning and a worked example of refusing production edits,"Tempting because prompt emphasis does shift behavior, but instructions are probabilistic and can be diluted or overridden by whatever else enters context. A rule that must hold every time cannot live only in the prompt.",A pre-tool-use hook in the agent harness that deterministically blocks any file-write action targeting the production path,"Correct. Hooks execute as deterministic code in the harness, outside the model's reasoning, so a pre-tool-use hook inspects each action and blocks writes to the protected path with certainty. Deterministic guardrails belong in code, not in instructions.",Lower the sampling temperature so the model follows its instructions more consistently across runs,"Temperature influences sampling variability, not instruction adherence on a specific prohibition; even at low temperature the model can still choose a forbidden action. It treats a control-enforcement problem as a decoding-parameter problem.",Add a second Claude call that reviews each planned edit and advises the agent on whether to proceed,"A reviewer model adds a second probabilistic judgment on top of the first — it reduces the failure rate but still cannot guarantee zero production writes, and it doubles latency and cost. Model-checks-model is defense in depth, not a hard boundary.",,,,,2,"Guarantees require deterministic hooks, not prompt instructions. Hooks run as code at defined points in the agent loop and can block actions with certainty, which no amount of prompt emphasis or model self-review can match.",Agents and Workflows
"Amara's team at an adtech firm runs an Agent SDK coding agent whose system prompt says to run the code formatter after editing any file. In practice the model skips the formatter on roughly one edit in twenty, and unformatted code keeps reaching CI. The team wants formatting to happen after every single file edit, without exception. What should they add?",multiple-choice,A stronger system-prompt instruction that repeats the formatting rule at both the top and the bottom of the prompt,Prompt emphasis shifts probabilities but cannot reach certainty — the instruction can still be crowded out by whatever else fills the context during a long session. A rule that must hold every time cannot live only in the prompt.,A second Claude call at the end of each session that reviews the diff and formats anything the agent missed,"An end-of-session review narrows the gap but is still a probabilistic model judgment, and it leaves unformatted code in place for the whole session — including any mid-session commits or CI triggers that fire before the review runs.",A post-tool-use hook in the harness that runs the formatter automatically whenever a file-write tool completes,"Correct. Hooks execute deterministic code at defined points in the agent lifecycle; a hook that fires after every file-write tool call runs the formatter unconditionally, converting a model tendency into a mechanical guarantee.",A lower sampling temperature so the model follows its formatting instruction more consistently across edits,"Temperature tunes sampling variability, not adherence to a specific procedural rule; even conservative sampling leaves a nonzero chance the model omits the step. This treats an enforcement problem as a decoding knob.",,,,,3,"Hooks turn 'the model usually does it' into 'the harness always does it'. A post-tool-use hook runs the formatter as deterministic code after every file write, which no amount of prompt emphasis or model self-review can guarantee.",Agents and Workflows
"Callum's food-delivery company runs a custom-loop support agent. Once or twice a day a session goes off the rails: the agent calls the restaurant-search tool thirty or forty times in a row with slight variations, burning tokens until someone kills the process manually. The team needs runaway sessions stopped reliably. What is the right fix in the harness?",multiple-choice,Add a system-prompt rule telling the agent never to call the same tool more than three times in one session,"A prompt rule is a request, not a control — the same degraded judgment driving the repeated calls can just as easily ignore the instruction. Runaway protection has to bind even when the model's reasoning is exactly what has failed.",Enforce a turn and budget ceiling in the loop code that halts the session gracefully when the limit is reached,"Correct. The harness owns the loop, so it can count iterations and spend, then stop deterministically when a ceiling is hit — a stopping condition in code is the reliable backstop for a loop the model is no longer steering well.","Remove the restaurant-search tool from the agent's tool set, since it is the one being called repeatedly","The tool is essential to the agent's job; deleting it fixes the symptom by destroying the feature. The defect is unbounded looping, which would simply reappear with whichever tool the agent leans on next.",Cap tool usage by lowering max_tokens so that long tool-calling sessions become impossible to sustain,"max_tokens limits a single response's output length, not how many times the loop iterates — each tool-calling turn is a fresh request with its own budget. This misplaces a loop-level control at the message level.",,,,,2,"Runaway loops are stopped by harness-level iteration and budget limits, not prompt requests. The loop code owns termination: count turns and spend, and halt gracefully at the ceiling — a deterministic control that holds precisely when model judgment fails.",Agents and Workflows
"A legal-tech company's contract-review agent works well for the first twenty minutes of a session, then grows slow, expensive, and forgetful: it re-reads clauses it already analyzed and contradicts earlier findings. Traces show the context window is dominated by full-text tool outputs from every document fetch since the session began. Which pattern most directly fixes this?",multiple-choice,"Compact the conversation as it grows, replacing older verbose tool outputs with distilled summaries of what was learned","Correct. Context-window management — pruning stale tool outputs and compacting history into summaries — keeps the working context small and relevant, which restores speed, cost, and coherence in long agent sessions. Retain conclusions, drop the raw bulk.",Switch the agent to the most capable model tier so it can reason more reliably over the accumulated context,"Tempting because stronger models degrade more gracefully, but every model's attention is diluted by a context stuffed with stale full-text outputs, and the top tier raises per-token cost on an already bloated prompt. It pays more to reason over garbage.",Increase max_tokens on every request so the model has more room to produce complete answers late in the session,"max_tokens bounds the output length, not the input context; it does nothing about the accumulated tool results crowding the window. This confuses the generation budget with the context budget — a common mechanics mix-up.",Add an instruction telling the agent to ignore earlier tool outputs unless they are directly relevant to the current clause,"The instruction still ships every stale output to the model on every request, so cost and latency are unchanged and attention is still diluted. Asking the model to ignore content is probabilistic; removing the content is deterministic.",,,,,1,"Long-running agents must prune and compact stale tool output rather than appending forever. Context-window management keeps the working context small and relevant, restoring speed, cost, and coherence in long sessions.",Agents and Workflows
"Lucia runs localization at a startup that translates marketing copy into eight languages. First-pass Claude translations are decent, but reviewers keep flagging the same issues — tone drift and off-glossary terminology — and the team has written those review criteria down precisely. Drafts improve markedly when critiqued and revised. Which pattern should Lucia implement?",multiple-choice,"An evaluator-optimizer loop where a generator drafts, an evaluator checks the draft against the written criteria, and revision repeats until it passes",Correct. Evaluator-optimizer shines when output quality demonstrably improves with iteration and the evaluation criteria can be articulated — both conditions Lucia has. The loop automates the exact critique-and-revise cycle her reviewers perform by hand.,A routing step that classifies each source text by language and sends it to a language-specific prompt,"Routing dispatches inputs to specialized handlers, but the target language is already known for every job, and dispatch does nothing about the quality problem — the first draft would still ship unreviewed.",An orchestrator that splits each document into paragraphs and translates them in parallel workers for speed,"Parallel sectioning addresses throughput, not quality, and fragmenting marketing copy across workers risks worse tone consistency — the very defect reviewers keep flagging in the first place.",A memory store that saves every past translation so the generator can look up how similar sentences were handled,"Reference material can improve the first draft, but the reported gap is between drafts and revised output — the improvement comes from critique against explicit criteria, which a lookup store does not perform.",,,,,1,"Use evaluator-optimizer when output demonstrably improves with critique and the review criteria can be written down. A generator-evaluator loop automates the revise cycle reviewers were doing manually, gating each draft against the team's explicit standards.",Agents and Workflows
"Devika, tech lead at a sports-analytics company, must decide whether her team builds its multi-step agent directly on the Claude API or adopts an agentic abstraction framework such as Strands, LangGraph, or PydanticAI. She asks the team to ground the debate in accurate claims about what frameworks do and do not change. Which two statements are accurate? (Choose two.)",multi-select,"Frameworks reduce orchestration boilerplate — state handling, step wiring, retries — at the cost of an abstraction layer that can obscure the underlying API calls during debugging","Correct. The framework tradeoff is boilerplate for opacity: you write less orchestration code, but when something misbehaves, the prompts and calls the framework assembled on your behalf sit one layer further from view.","Tool calling only works through a framework, because the raw Messages API cannot return tool-use requests to client code",The Messages API natively supports tool use — the model returns tool-use blocks and client code executes them in a loop. Frameworks wrap this cycle for convenience; they are not what makes it possible.,"Adopting a framework removes the need for context-window management, since frameworks handle context automatically","No framework abolishes the physics of a finite context window; compaction, pruning, and isolation still have to be designed for long-running work. Frameworks may offer helpers, but the responsibility does not disappear.",Starting with direct API calls and adopting a framework only when orchestration complexity demands it keeps early versions easier to reason about,"Correct. A recurring recommendation in agent building is to start simple: direct calls keep every prompt and decision visible, and a framework earns its place once multi-step state and wiring genuinely hurt.",,,,,"1,4","Frameworks trade orchestration boilerplate for an abstraction layer that can obscure debugging, so starting with direct API calls and adopting a framework only when complexity demands keeps early systems transparent. Tool use and context management exist with or without them.",Agents and Workflows
A retail bank's product owner gives the engineering team a requirements list for a Claude-powered dispute-resolution assistant. The team must separate functional requirements from infrastructure requirements to divide design work between the application squad and the platform squad. Which item on the list is an infrastructure requirement?,multiple-choice,The assistant must summarize a customer's recent transactions when asked about a disputed charge,"This describes what the system does for the user — summarizing transactions is behavior, which makes it a functional requirement owned by the application squad. It's tempting to call it infrastructure because it touches transaction systems, but the integration serves a functional behavior.",The system must sustain 500 concurrent sessions with 99.9% availability during business hours,"Correct. Concurrency and availability targets describe the qualities the underlying platform must provide rather than any user-facing behavior — the classic definition of an infrastructure (non-functional) requirement, driving capacity, scaling, and redundancy decisions.",The assistant must escalate to a human agent when the customer requests it,"Escalation to a human is a behavior the assistant performs in response to a condition — functional. It's tempting to file it under operations because humans are involved, but the requirement specifies what the system does, not what the platform provides.",The assistant must respond in the customer's chosen language among the bank's five supported languages,"Language support defines the content of the system's responses — a functional capability. It feels infrastructural because it may affect model or configuration choices, but the requirement itself describes user-facing behavior, not platform qualities.",,,,,2,"Functional requirements describe what the system does; infrastructure requirements describe what the platform must provide. Separating them assigns design ownership correctly and ensures qualities like concurrency and availability get engineered, not assumed.",Applications and Integration
Jonas is running an architecture review at a food-delivery company. He finds that the order-support assistant enables extended thinking with a large budget on every request — including trivial lookups like 'where is my order' — inflating latency and cost. No documented requirement calls for deep reasoning on these flows. What should the review conclude?,multiple-choice,Design decisions must trace to requirements; a capability no requirement justifies is gold-plating and should be removed from the flows that do not need it,"Correct. Requirements discipline runs both directions: requirements must be satisfied, and design elements must be justified by requirements. Paying latency and cost for reasoning capacity that no user-facing need demands is gold-plating — the review should scope the capability to the flows whose requirements call for it.","The configuration should stay, because additional reasoning capacity can only improve answer quality and the costs are the price of robustness","Tempting because more reasoning sounds strictly better, but the scenario states real harms — inflated latency and cost — against no identified benefit on trivial lookups. 'Can only improve quality' ignores that requirements exist precisely to weigh capability against its price per use case.","Extended thinking should be disabled across the entire product, including complex dispute-resolution flows, to standardize behavior everywhere","Blanket removal repeats the original mistake in reverse: a global configuration decision made without consulting the requirements of each flow. Complex dispute flows may genuinely need deeper reasoning; the fix is matching capability to requirement, not uniformity for its own sake.",The team should retroactively write a requirement that mandates extended thinking so the existing configuration becomes compliant with the process,Writing a requirement to launder an unjustified decision inverts the entire practice — requirements would then document the implementation instead of constraining it. This makes the traceability audit pass while preserving the waste it was meant to catch.,,,,,1,Architecture reviews should ask not only 'is every requirement met' but 'does every design decision serve a requirement.' Capability that nothing justifies — like heavy reasoning on trivial lookups — is waste to be scoped out.,Applications and Integration
