Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"Marcus, an operations coordinator at a healthcare clinic, needs Claude to draft a patient-facing FAQ about a new appointment booking system. He has the internal rollout document. Which prompt is most likely to produce a usable first draft?",multiple-choice,"""Write an FAQ about our new booking system"" with no attachment, so Claude stays flexible","Tempting because short prompts feel efficient, but with no source material Claude will invent plausible-sounding details about a booking system it has never seen, and with no audience guidance it may write for staff instead of patients. Flexibility here just means guessing.",Paste the rollout document alone with no instructions and let Claude infer what he needs,"Providing the source document is half the job, but with no instructions Claude must guess the task, the audience, and the format. It might summarize the rollout plan for managers rather than write patient-friendly questions and answers.","Attach the rollout document and specify the audience, a plain-language reading level, the question topics to cover, and the desired format","Correct. This prompt combines grounding material with clear task specification: real source content to draw facts from, a defined audience and reading level, scoped topics, and a stated format. That is the recipe for a first draft that needs refinement rather than rework.","Ask Claude to first explain what makes a good FAQ in general, then request the draft in a later message",A general lesson on FAQ writing does not move the actual task forward and adds an unnecessary step. Claude does not need to be taught the genre; it needs Marcus's specific source content and requirements to produce something accurate and on-audience.,,,,,3,"Pair source material with explicit task instructions: grounding documents plus a clear statement of audience, scope, and format is the core structure of an effective business prompt.",Prompting and Task Execution
"Yuki, a project coordinator at a packaging manufacturer, asks Claude to summarize production meeting notes that are full of internal shorthand — ""Line 4 retrofit,"" ""the Basel run,"" and several plant-specific acronyms. Claude's summaries repeatedly misinterpret these terms. What is the best fix?",multiple-choice,Include a short glossary in the prompt defining the internal terms and acronyms Claude cannot know,"Correct. Company-internal vocabulary has no public meaning for any model to learn, so the prompt must supply it. A brief glossary of the shorthand and acronyms gives Claude the same decoding key a new employee would need, and the misinterpretations stop at the source.","Switch to a more capable model, which will recognize manufacturing terminology more reliably","Tempting because stronger models do know more general terminology, but ""the Basel run"" is not general terminology — it is a private label for something only this company defines. No amount of model capability substitutes for information that exists only inside the organization.",Instruct Claude to guess the meaning of unfamiliar terms carefully from surrounding context,"Claude already infers from context by default, and that inference is exactly what is producing the wrong interpretations. Instructing it to guess more carefully still leaves it guessing; the missing definitions have to be provided, not divined.",Ask for a much shorter summary so there are fewer opportunities to misuse the shorthand,"A shorter summary hides the misreadings rather than fixing them — the model still interprets the terms incorrectly and now compresses those errors into fewer, denser sentences. Reducing length does not add the knowledge the prompt failed to supply.",,,,,1,"Supply the vocabulary only your organization knows: internal acronyms and project shorthand must be defined in the prompt, because no model can know meanings that exist only inside a company.",Prompting and Task Execution
"Elena, a program director at an education nonprofit, must use Claude to plan a curriculum overhaul involving stakeholder input, a phased timeline, and budget estimates. Which two approaches apply task decomposition effectively? (Choose two.)",multi-select,"Ask Claude to propose a plan structure first, confirm or adjust it, and only then request the detailed content","Correct. Getting the structure agreed before generating detail is a core decomposition move: it separates the planning decision from the drafting work, catches misunderstandings early, and gives every later step a shared skeleton to build on.",Split the work into sequenced subtasks where each step's output becomes input to the next step,"Correct. Chaining subtasks so that each output feeds the next — stakeholder analysis into timeline, timeline into budget — is sequential decomposition. Each step gets Claude's full attention on one problem, and errors surface at the step where they occur.",Write one exhaustive prompt covering every requirement so the entire plan arrives in a single response,"Tempting because a thorough prompt feels rigorous, but packing every requirement into one request is the opposite of decomposition. The model must juggle all concerns at once, depth suffers, and Elena gets no checkpoint to redirect before the whole plan is written.",Run the same comprehensive prompt in three separate chats and select whichever full plan reads best,"Generating three monolithic plans triples the reading burden without restructuring the task. Each attempt still suffers the single-shot depth problem, and choosing among whole plans gives far less control than shaping the work step by step.",,,,,"1,2","Structure first, detail second, one step at a time: decomposition means sequencing a complex request into confirmable stages, not writing a longer single prompt.",Prompting and Task Execution
"Harriet, an office-relocation lead at a staffing agency, plans to use Claude for three subtasks: researching moving vendors, drafting a staff FAQ, and building a week-by-week move timeline. The FAQ and timeline both depend on which vendor and move dates are chosen. How should she order the work?",multiple-choice,Run all three subtasks as parallel requests at the same time to get results as quickly as possible,"Tempting because parallel work feels efficient, but two of the three outputs depend on decisions the first produces. FAQs and timelines written before a vendor and dates exist are built on placeholders and will need rework as soon as the real decision lands.","Start with the staff FAQ, since it is the easiest of the three subtasks to finish and creates momentum","Ease is not a sequencing principle when outputs feed each other. An FAQ drafted first must guess at the vendor, dates, and logistics, so the ""momentum"" is illusory — the document gets rewritten once the real answers arrive from the research step.","Map the dependencies first: complete the vendor research, then build the timeline and FAQ that depend on its outcome","Correct. Decomposition includes sequencing: identify which subtasks produce information other subtasks consume, and order the work so dependencies are satisfied. Vendor research is the upstream step here; the timeline and FAQ inherit its outputs and should follow it.",Work through the subtasks in the order they appear in her project plan document,"The order items happen to appear in a planning document reflects when they were written down, not how information flows between them. Sequencing should follow the dependency structure of the work, not the accident of list order.",,,,,3,"Sequence subtasks by their dependencies: subtasks that consume another subtask's output must come after it, while truly independent work can run in any order.",Prompting and Task Execution
"Aisha, an analyst at a media company, produces a weekly newsletter summary with Claude. Each week she spends several rounds of corrections getting the tone and structure right, and each week the first draft has the same problems. What should she change?",multiple-choice,"Fold the recurring corrections into the prompt itself, including an example of a past summary that came out right","Correct. When the same corrections recur across sessions, the lesson belongs in the prompt, not in the conversation. Encoding the fixes as instructions and including a known-good example turns hard-won feedback into a reusable template, so future first drafts start where past sessions ended.","Continue the weekly correction rounds, since iteration within each session is how quality is achieved","Tempting because iteration is genuinely valuable, but repeating identical corrections every week means the learning is being discarded after each session. Iteration should improve the prompt over time, not just the current draft.",Shorten the prompt so Claude has more freedom to find the right tone and structure on its own,"Removing guidance makes the recurring problems worse: the tone and structure issues exist because the prompt underspecifies them. Freedom helps in brainstorming; in a recurring formatted deliverable, precision and examples are what produce consistency.",Rotate between different models each week to find one whose default style matches her needs,"The weekly drift is caused by an underspecified prompt, and that cause travels with her to any model. Model-shopping for a default style is far less reliable than stating the required style explicitly with an example.",,,,,1,"Bake repeated corrections back into the prompt: recurring fixes belong in the reusable prompt across sessions, not re-typed in every conversation.",Prompting and Task Execution
"Astrid, a customer-experience lead at an airline, has spent six rounds of corrections on a flight-disruption apology template. The draft now oscillates: fixing the tone breaks the structure, and restoring the structure reintroduces the tone problems. What is the most effective way forward?",multiple-choice,Consolidate everything she has learned across the six rounds into one rewritten prompt and start a fresh conversation with it,"Correct. A long chain of piecemeal corrections accumulates scattered, sometimes conflicting instructions, which is exactly what oscillation signals. Consolidating all requirements into a single coherent prompt — and starting clean — lets Claude satisfy them together instead of trading one off against another.","Continue patching one issue per round, alternating between tone and structure until both hold at once","Alternating patches is the strategy that produced the oscillation: each fix is applied without the full requirement set in view, so it disturbs the other dimension. Six rounds of evidence say this loop converges nowhere; the requirements need to be stated together.",Regenerate the current draft repeatedly until a version appears in which both problems are fixed together,"Regeneration in a conversation now loaded with layered, conflicting corrections samples from precisely the confusion causing the problem. Chance is a poor tool for satisfying two interacting constraints that have never been expressed in one place.",Switch to a different model in the same conversation and ask it to reconcile the tone and structure requirements,"The contradictory instruction history stays in the conversation regardless of which model reads it. A different model inherits the same tangled context; the fix is consolidating the requirements, not changing who receives the tangle.",,,,,1,"When patches oscillate, consolidate and restart: long correction chains accumulate conflicting instructions, and the remedy is one rewritten prompt carrying every requirement in a fresh conversation.",Prompting and Task Execution
"Noah, a grants manager at an education nonprofit, uses one template for every Claude request: ""Answer in three concise bullet points."" It works well for status summaries but produces thin, unhelpful results when he researches the national funding landscape. What is the best adjustment?",multiple-choice,"Keep the template everywhere, since a consistent format makes all outputs easier to compare","Tempting because consistency has real value for recurring summaries, but a format optimized for brevity actively harms a task whose value lies in depth, evidence, and nuance. Consistency of format should never override fitness for the task type.","Adapt the prompt to the task: for research, allow a fuller exploratory response and ask for sources and flagged uncertainties","Correct. Different task types need different prompting strategies: research tasks benefit from room to explore, requests for sources, and explicit flagging of uncertain claims, while summaries benefit from tight format constraints. Matching strategy to task is the core skill.",Increase the template to five bullet points so research answers have a little more room,Two extra bullets is a cosmetic tweak to the wrong strategy. The problem is not bullet count but that a compression-oriented format is being applied to an exploration-oriented task; the research still gets flattened into fragments without evidence.,Reframe the research request as a brainstorm so Claude generates a wider range of possibilities,"Brainstorming prompts optimize for imaginative variety, but research requires grounded, verifiable findings about what actually exists in the funding landscape. Swapping one mismatched strategy for another does not produce the sourced depth Noah needs.",,,,,2,"Match prompt strategy to task type, not habit: analysis, research, drafting, and brainstorming each reward different constraint levels, evidence requirements, and output formats.",Prompting and Task Execution
"Yosef, a marketing editor at a publishing house, needs the announcement for a new imprint. He asked Claude for twenty quick variants of the announcement and received a scatter of short, inconsistent fragments, none usable. What does adapting his strategy to the task type look like?",multiple-choice,"Treat it as a drafting task: request one complete draft with the voice, audience, and structure specified, then refine that draft through feedback","Correct. Drafting is a convergent task type: it rewards a full specification — voice, audience, structure — and one coherent draft that gets refined. Yosef applied a divergent, brainstorm-shaped prompt to convergent work, which is why he got fragments instead of an announcement.",Increase the request to forty variants so that at least one is more likely to be usable as-is,"Doubling the variant count doubles down on the mismatched strategy. Volume helps when the goal is exploring an idea space; an announcement needs one internally consistent piece of writing, which no amount of additional fragments will become.",Assemble the announcement himself by stitching the strongest sentences from the twenty fragments together,"Sentences written for twenty different framings do not share a voice or an argument, so stitching them yields a patchwork. He would spend more effort harmonizing fragments than a properly specified single draft would need in refinement.",Paste the twenty variants back to Claude and ask it to identify which one is objectively best,Ranking the fragments still ends with a fragment: the twenty candidates were generated without the voice and structure specification a real draft requires. Selecting the least-bad output of the wrong strategy is not adapting the strategy.,,,,,1,"Drafting converges: one specified draft, then refine — variant-generation is a brainstorming shape that produces fragments rather than a coherent deliverable.",Prompting and Task Execution
"Daniel, an administrator at a hospital network, has Claude analyze a staffing spreadsheet. The narrative is insightful, but one departmental total in Claude's analysis doesn't match the figure he remembers from the source file. What should he do first?",multiple-choice,"Trust the analysis, since Claude had direct access to the uploaded spreadsheet when computing totals","Tempting because access to the source feels like a guarantee, but models can misread, miscount, or mis-aggregate data they were given. Having the spreadsheet in context lowers error rates; it does not eliminate them, so a suspected discrepancy still demands source verification.","Recheck the figure against the spreadsheet itself, and if it is wrong, treat the other numbers as unverified until spot-checked","Correct. One demonstrated numeric error changes the evidence status of the whole output: verification against the source resolves the specific discrepancy, and a confirmed error means the remaining figures need spot-checking before anyone acts on them. This is evaluation driven by the source, not by trust.",Ask Claude to confirm its own total in the same conversation and proceed if it stands by the number,"A model asked to confirm its own figure will often restate it confidently, whether right or wrong. Self-confirmation adds no independent evidence; only the spreadsheet itself can settle which number is correct.",Forward the analysis with a general note that some figures may need double-checking later,Shipping known-doubtful numbers with a vague disclaimer transfers the verification burden to readers who lack the source file. A caveat does not make an inaccurate figure safe to circulate in a hospital staffing decision.,,,,,2,"One caught error means the rest is unverified: accuracy evaluation widens checking after a confirmed mistake, and only the source data can adjudicate a numeric discrepancy.",Output Evaluation and Validation
"Lorenzo, a tour-operations manager at a travel company, asks Claude to list the entry requirements for a destination his groups visit, and receives a confident, detailed answer drawn from the model's general knowledge. What accuracy consideration should drive his evaluation before he briefs travelers?",multiple-choice,The answer can be trusted because the details match what he remembers from last season's briefings,"Agreement with last season's memory is exactly the wrong comfort: if the rules changed this year, both his memory and the model's training data would be stale in the same direction. Matching an old baseline cannot validate a time-sensitive fact.",The answer is reliable as long as it is internally consistent and does not contradict itself anywhere,"Internal consistency measures whether the answer hangs together, not whether it describes today's rules. A perfectly coherent description of last year's visa regime is still wrong for travelers departing next month.","The answer may be outdated: entry rules change and model knowledge has a cutoff, so time-sensitive facts must be verified against the current official source before travelers rely on them","Correct. Evaluating accuracy includes evaluating currency: model knowledge is frozen at a training cutoff, and entry requirements are a fast-changing, high-consequence fact category. The check that matters is the destination's current official guidance, dated today, not the fluency of the answer.","The answer should be shared with travelers as-is, accompanied by a note that rules can change","A ""rules can change"" note shifts the burden onto travelers, who will reasonably act on the specifics they were given. Distributing possibly stale requirements with a disclaimer is not a substitute for the operator verifying them first.",,,,,3,"Check the clock, not just the facts: time-sensitive claims must be verified against present-day authoritative sources, because model knowledge is frozen at a training cutoff.",Output Evaluation and Validation
