Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"Contoso Logistics routes 4.2 million support emails a month through a triage step that assigns one of eight intent labels and pulls out the tracking number. The step runs on a Global Standard gpt-4.1 deployment, costs roughly $38,000 a month, and shows p95 latency of 2.1 seconds against a 96.4% accuracy score on a labelled holdout set. The team wants the cost and latency down without losing measurable accuracy. Which change should they evaluate first?",multiple-choice,"Deploy a small language model such as Phi-4-mini from the Foundry model catalog, score it against the same labelled holdout set, and fall back to gpt-4.1 only for low-confidence messages","Correct. Fixed-taxonomy classification plus one short extraction is exactly the workload a small language model handles at a fraction of the cost and latency of a frontier model, and the labelled holdout set already exists so the accuracy claim can be measured rather than assumed. Routing only low-confidence items to gpt-4.1 preserves the tail quality while moving the bulk of 4.2 million calls to the cheap model.",Keep the gpt-4.1 deployment but reduce max_tokens and set temperature to 0 so each triage call consumes fewer tokens and returns faster,"Tempting because token settings do affect cost, but this workload emits a label and a tracking number — the output is already tiny, so the bill is dominated by input tokens and per-call model pricing. Trimming max_tokens shaves a rounding error off a $38,000 invoice and does nothing about per-token input price on a frontier model.","Fine-tune gpt-4.1 on 50,000 historical triage emails so the fine-tuned model needs shorter prompts and produces the labels more cheaply","Fine-tuning does shorten prompts, but it keeps you on the expensive model family, adds hosting charges for the fine-tuned deployment, and locks in a training-time snapshot of the intent taxonomy that has to be retrained whenever labels change. For a simple eight-class problem, a smaller base model is cheaper to run and far cheaper to maintain.",Switch the triage step to a reasoning model so the extra deliberation raises accuracy enough to justify the current spend,"Reasoning models spend extra internal tokens on deliberation, which raises both cost and latency — the opposite of the stated goal. They pay off on multi-step planning or hard analytical problems, not on a single-pass classification task that is already at 96.4%.",,,,,1,"High-volume, narrow tasks like fixed-label classification belong on a small language model, with a confidence-based fallback to a larger model for the hard tail. Always validate the swap against the labelled holdout set you already have instead of arguing about it.",Plan and manage an Azure AI solution
"A contact centre wants agents in Manila to take live calls from Spanish-speaking customers. The requirement is that the customer's speech is rendered as Spanish text and English audio with under two seconds of lag while the caller is still speaking, and that a transcript in both languages is stored for QA. Which Foundry capability should anchor the design?",multiple-choice,"Azure AI Speech in Foundry Tools, using continuous speech translation with streaming recognition and text to speech for the rendered audio","Correct. Speech translation in Azure AI Speech is designed for streaming audio: it recognizes and translates continuously while the speaker talks and emits partial results, which is what keeps lag inside two seconds, and text to speech renders the English audio. The service returns both recognized and translated text, so the bilingual QA transcript falls out of the same pipeline.",A multimodal chat model called once per completed call with the recorded audio file attached and a prompt asking for a translated transcript,"A single post-call multimodal call cannot help a live conversation at all — the translation arrives after the customer has hung up. Batch multimodal audio analysis is a good fit for QA scoring, not for in-call assistance.","Azure AI Translator called on the final call transcript after the call ends, with the translated text played back to the agent afterwards","Translator handles text well, but it starts from text that does not exist yet during a live call and this design explicitly defers playback until the call ends. It solves the transcript requirement while missing the latency requirement entirely.",A custom function tool on an agent that uploads 30-second audio chunks to blob storage and polls a batch transcription job,"Chunk upload plus batch transcription polling adds storage round trips and job scheduling delay measured in tens of seconds. Batch transcription targets recorded archives, not the sub-two-second interactive path.",,,,,1,"Live bilingual calls need streaming speech translation plus text to speech, not post-call batch processing. Latency requirements, not model capability, are what disqualify the batch-shaped options here.",Plan and manage an Azure AI solution
"A parts-lookup assistant retrieves from an Azure AI Search index using pure vector search over embedded product descriptions. Users report that natural-language questions work well, but queries containing exact identifiers such as BRK-4471-A or ISO 4762 return semantically similar parts and almost never the exact one. Recall on the identifier subset of the evaluation set is 0.41. What should you change in the retrieval design?",multiple-choice,"Switch to hybrid retrieval that runs keyword and vector queries together and fuses the result sets, then apply the semantic ranker to reorder the top results","Correct. Embeddings capture meaning, not exact token identity, so rare alphanumeric identifiers are systematically weak in vector space — the keyword arm of a hybrid query matches them lexically, and fusing the two result sets recovers the exact document. Adding the semantic ranker then reorders the fused candidates so the exact match surfaces at the top rather than merely being present.",Increase k from 5 to 50 so the exact part is more likely to appear somewhere in the retrieved set,"Widening k is a blunt instrument: it inflates prompt size and cost, and it only helps if the exact document was ranked just below the cutoff. Here the vector representation of an identifier is weak in the first place, so the right document often is not in the top 50 either.",Re-embed the corpus with a larger embedding model and more dimensions so identifiers are represented more precisely,"Larger embedding models improve semantic nuance, not lexical exactness. A rare SKU token is still diluted into a dense vector regardless of dimension count, so this spends compute and index storage for essentially no gain on the failing subset.",Lower the vector similarity threshold so borderline matches are no longer filtered out of the result set,Loosening the threshold returns more marginally similar parts — precisely the wrong parts users are already complaining about. It treats a representation mismatch as if it were an over-aggressive filter.,,,,,1,"Exact-identifier queries fail in pure vector search because embeddings encode meaning, not tokens. Hybrid retrieval with fused keyword and vector results plus the semantic ranker is the standard fix.",Plan and manage an Azure AI solution
"A travel agent built on Foundry Agent Service currently keeps conversation state in the web tier: the app stores every user and assistant message in its own session cache and replays the whole transcript into a new run each turn. After a deployment that scaled the web tier to three replicas, users behind the load balancer intermittently see the agent forget what was just said. What should the team change?",multiple-choice,"Use Agent Service threads as the conversation store, creating a thread per conversation and adding each new user message to that thread before starting a run","Correct. Agent Service threads are server-side, durable conversation state: the thread holds the message history and each run reads it, so any replica can continue the conversation by referencing the thread id. That removes the per-replica cache that the scale-out just exposed as the real bug.",Enable sticky sessions on the load balancer so every request from a user lands on the replica holding that user's cache,"Sticky sessions hide the symptom by pinning users to a replica, but the state is still confined to a single process — a replica restart, rebalance, or deployment loses the conversation. It also undermines even load distribution across the three replicas.",Increase the session cache TTL in the web tier and raise the number of messages retained per session,"TTL and retention tuning make the in-process cache hold more for longer, which does nothing about the fact that a different replica has no copy at all. This treats an eviction problem that is not happening.",Move the transcript into the agent instructions before each run so the conversation history travels with the agent definition,"Agent instructions define role and behaviour and are not a per-conversation store; rewriting them per run mutates shared agent configuration and would leak one user's transcript into another's session. Conversation history belongs on the thread, not the agent.",,,,,1,"Server-side threads make conversation state independent of which replica serves a request, which is exactly what breaks when app-tier caches meet horizontal scale. Sticky sessions and bigger caches only postpone the same failure.",Plan and manage an Azure AI solution
"A German insurer must keep all inference processing for its claims assistant inside the European Union, confirmed in writing to its regulator. The workload is bursty, peaking at about 900,000 tokens per minute for two hours each morning, and the team does not want to commit to reserved capacity yet. Which deployment option should they choose for the model?",multiple-choice,"A Data Zone Standard deployment in an EU-based Foundry resource, so traffic is processed within the EU data zone while still billing per token","Correct. Data Zone Standard constrains processing to the data zone associated with the resource — for an EU resource, EU geographies — while keeping the pay-per-token consumption model the team wants until demand is predictable. It gives residency and burst headroom without a capacity commitment.","A Global Standard deployment, because it offers the highest available throughput and the lowest per-token price","Global Standard routes requests to available capacity anywhere in the global fleet, which is exactly what the regulator's commitment forbids. Price and throughput are real advantages, but they do not survive a hard data-residency constraint.","A Global Provisioned deployment, because provisioned capacity is dedicated to the customer and therefore stays in region","Provisioned throughput reserves capacity, but the Global variant still routes globally — dedicated capacity is a performance and quota property, not a geographic one. It also forces the reserved commitment the team explicitly wanted to avoid.",A Standard deployment in a single EU region with a manual failover script that redirects to a US region during the morning peak,"Failing over to a US region during peak deliberately moves EU processing to the United States precisely when volume is highest. Regional Standard is a legitimate residency choice, but the failover design destroys the guarantee it provides.",,,,,1,"Data Zone Standard keeps processing inside the EU data zone while preserving token-based billing for bursty demand. Global deployment types route anywhere in the fleet, so they cannot satisfy a residency commitment regardless of their price or throughput advantages.",Plan and manage an Azure AI solution
"Your Foundry project lives in a resource in North Europe. A newly released multimodal model appears in the model catalog, but when you try to create a Standard deployment in that resource the model is not offered, and the model's documentation lists a smaller set of supported regions that excludes North Europe. The application must call this model within two weeks. What is the correct action?",multiple-choice,"Create the model deployment in a Foundry resource located in one of the model's supported regions and have the application call that deployment's endpoint, adding a project connection to it","Correct. Model availability is per region and per deployment type, so the working pattern is to place the deployment where the model is actually offered and reference it from the application, wiring it up as a connection so credentials and endpoints stay managed. Nothing forces model deployments to sit in the same region as every other component.","Open a support request to have the model enabled in North Europe, since regional model availability is a per-subscription allowlist","Regional availability reflects where Microsoft has enabled the model's capacity, not a per-subscription entitlement flag, so a support ticket cannot conjure a region into the supported list. This wastes the two-week window waiting on a request that will not be granted.",Deploy the closest previous-generation model available in North Europe and rely on prompt engineering to reproduce the newer model's multimodal behaviour,"Substituting an older model abandons the multimodal capability the requirement is built on, and prompting cannot add a modality a model does not support. This is a downgrade dressed as a workaround.","Recreate the entire Foundry project and all of its connections in a supported region, since a project cannot reference a deployment outside its own region","Rebuilding the project is a large, disruptive migration justified by a constraint that does not exist — applications routinely call deployments in other regions. If the whole solution needs to move for latency reasons that is a separate decision, not a prerequisite for using this model.",,,,,1,"When a model is not available in your project's region, deploy it in a supported region and reference that deployment through a connection. Regional availability is a capacity fact, not a subscription toggle, and it does not require rebuilding the project.",Plan and manage an Azure AI solution
"A bank is moving an internal agent from a proof of concept to production. Audit requires that conversation threads, uploaded files, and the vector store used for agent knowledge all live in subscriptions the bank owns, inside its own storage accounts, with customer-managed keys where applicable. Which setup should the team use for Foundry Agent Service?",multiple-choice,"Use the standard agent setup, bringing your own Azure Cosmos DB account, Azure Storage account, and Azure AI Search service and connecting them to the project","Correct. The standard agent setup exists to let customers bring their own Cosmos DB for thread storage, Storage account for files, and AI Search for the vector store, so agent state resides in resources the bank owns and governs. That is the configuration that satisfies an audit demand for customer-owned data stores rather than platform-managed ones.",Use the basic agent setup and add a nightly export job that copies threads and files into the bank's own storage account,"A nightly export makes a copy; the authoritative data still lives in platform-managed storage for up to a day, which is precisely what the audit finding is about. It also adds a synchronization job that can silently fall behind.","Use the basic agent setup and enable customer-managed keys on the Foundry resource, which relocates thread and file storage into the bank's subscription","Customer-managed keys change who controls the encryption key, not where the data physically resides. Conflating key ownership with data residency is a common exam trap and would not close the audit item.","Skip Agent Service and rebuild the agent loop directly against the model deployment, storing everything in the bank's own database","Hand-rolling the agent loop discards managed tools, thread management, and tracing, and replaces a supported configuration option with a large amount of code to maintain. The platform already offers a bring-your-own-resources mode for this exact requirement.",,,,,1,"Standard agent setup with your own Cosmos DB, Storage, and AI Search puts agent state in customer-owned resources, which is what data-governance audits require. Exports copy data after the fact and customer-managed keys control encryption, not location.",Plan and manage an Azure AI solution
"A platform team runs dev, test, and prod for an AI product inside one Foundry resource, separating environments only by naming conventions such as chat-dev and chat-prod on deployments and connections. A load test against chat-dev exhausted the shared regional token quota and prod requests began failing. Auditors have separately asked how prod access is restricted. How should the environments be restructured?",multiple-choice,"Give each environment its own Foundry resource and project in its own resource group, so quota, role assignments, and connections are isolated per environment","Correct. Quota is tracked per subscription and region for a model, and role assignments and connections are scoped to the resource, so separating environments into their own resources is what actually isolates both the throughput blast radius and the access boundary. It also gives auditors a clean scope to point at for who can reach production.",Keep the single resource but rename the deployments with a stricter prefix scheme and document which prefixes are production,"Naming conventions are documentation, not enforcement: a prefix cannot stop a load test from consuming shared quota or stop a developer's role assignment from covering prod. It addresses neither the outage nor the audit question.",Keep the single resource and apply Azure Policy to deny changes to any deployment whose name ends with -prod,"Azure Policy on names can block certain control-plane operations, but the incident was data-plane token consumption, which policy does not throttle. It also leaves data-plane permissions identical across environments.",Keep the single resource and move dev traffic to a second region while leaving prod where it is,"Splitting regions can relieve the quota collision, but the two environments still share a resource, its role assignments, its connections, and its content filter configuration. It fixes one symptom and leaves the access-isolation finding untouched.",,,,,1,Separate Foundry resources per environment isolate quota consumption and give distinct RBAC and connection scopes. Naming conventions and policies on names provide no runtime isolation for either throughput or access.,Plan and manage an Azure AI solution
"During a product launch, your Python service starts receiving HTTP 429 responses from a Standard model deployment on roughly 12% of calls. The responses carry a retry-after header, average token usage per request is unchanged, and the deployment is running at its assigned tokens-per-minute ceiling. The current client immediately retries three times in a tight loop. What is the correct short-term and long-term response?",multiple-choice,"Honour the retry-after value and retry with exponential backoff plus jitter, and in parallel request additional quota so the deployment's tokens-per-minute allocation matches launch demand","Correct. HTTP 429 is a rate-limit signal, and the service tells you how long to wait through retry-after; honouring it with exponential backoff and jitter stops the tight retry loop from amplifying the congestion it is reacting to. Backoff only smooths the peak, so the durable fix is raising the deployment's tokens-per-minute allocation to match sustained launch demand.","Rotate the resource key and recreate the client, since 429 indicates the current credential has exhausted its allowance","Keys authenticate; they do not carry per-credential throughput allowances, so rotating one changes nothing about the rate limit. This confuses a throttling response with an authentication failure, which would be a 401.","Catch the 429 and fall back to returning a cached generic answer to the user, so the error rate reported by the service drops to zero",Serving a cached generic answer hides a capacity problem behind a degraded user experience and makes the metric that would have triggered a quota increase look healthy. Suppressing the signal is how a launch-day capacity issue becomes a silent quality issue.,Remove the retry logic entirely so failed calls surface immediately and users can resubmit their request themselves,"Removing retries makes every transient throttle a user-visible failure, when a brief backoff would have succeeded. Transient rate limiting is precisely the case retry logic exists for — the bug is the tight loop, not the retry.",,,,,1,"Answer a 429 by honouring retry-after with exponential backoff and jitter, then raise the deployment's tokens-per-minute quota for sustained demand. Key rotation targets authentication, and cached fallbacks merely hide the capacity shortfall.",Plan and manage an Azure AI solution
"A RAG assistant over 90,000 support articles is in production. Leadership wants an ongoing measure of whether answers stay anchored to retrieved sources, with alerting when the measure degrades, but the team cannot afford to have humans label every production answer. Which monitoring design fits the requirement?",multiple-choice,"Enable continuous evaluation on a sampled percentage of production traces, scoring each sampled response with groundedness and relevance evaluators, and alert on a sustained score drop","Correct. Continuous evaluation scores a sample of real production traces with model-graded evaluators such as groundedness and relevance, which gives an ongoing, unlabelled quality signal that can drive alerts. Sampling controls the evaluation cost while still tracking the trend leadership asked for.",Log every prompt and response to a storage account and have a reviewer read a random 20 answers each morning,"Twenty manual reads a day covers a vanishing fraction of traffic, produces no consistent numeric series, and cannot support alerting. It is useful qualitative review on top of measurement, not a substitute for it.","Track average response latency and token counts as proxies, since a poorly grounded answer generally takes longer to produce",Latency and token counts are operational metrics with no reliable relationship to groundedness — a confidently fabricated short answer is fast and cheap. Proxy metrics here would give false assurance precisely when quality fails.,Rerun the pre-release offline evaluation suite weekly and treat its scores as the production quality measure,"The offline suite uses a fixed golden dataset, so rerunning it weekly against unchanged questions mostly re-measures the same thing and misses shifts in what real users ask. It validates releases; it does not monitor production.",,,,,1,"Continuous evaluation over sampled production traces with groundedness and relevance evaluators gives an affordable, alertable quality signal. Manual spot reads, operational proxies, and reruns of the offline suite all miss live drift.",Plan and manage an Azure AI solution
